PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35343622","Geometric approaches to assessing the numerical feasibility for conducting matching-adjusted indirect comparisons","Glimm E, Yau L.","Pharm Stat. 2022 Mar 28. doi: 10.1002/pst.2210. Online ahead of print.","Glimm E","Pharm Stat","2022","2022/03/28","","","10.1002/pst.2210"
"35337365","Matching-adjusted indirect treatment comparison of chimeric antigen receptor T-cell therapies for third-line or later treatment of relapsed or refractory large B-cell lymphoma: lisocabtagene maraleucel versus tisagenlecleucel","Cartron G, Fox CP, Liu FF, Kostic A, Hasskarl J, Li D, Bonner A, Zhang Y, Maloney DG, Kuruvilla J.","Exp Hematol Oncol. 2022 Mar 25;11(1):17. doi: 10.1186/s40164-022-00268-z.","Cartron G","Exp Hematol Oncol","2022","2022/03/26","PMC8953336","","10.1186/s40164-022-00268-z"
"35289710","Carfilzomib 56 mg/m(2) twice-weekly in combination with dexamethasone and daratumumab (KdD) versus daratumumab in combination with bortezomib and dexamethasone (DVd): a matching-adjusted indirect treatment comparison","Weisel K, Nooka AK, Terpos E, Spencer A, Goldschmidt H, Dirnberger F, DeCosta L, Yusuf A, Kumar S.","Leuk Lymphoma. 2022 Mar 15:1-10. doi: 10.1080/10428194.2022.2047962. Online ahead of print.","Weisel K","Leuk Lymphoma","2022","2022/03/15","","","10.1080/10428194.2022.2047962"
"35281934","Eluxadoline Versus Antispasmodics in the Treatment of Irritable Bowel Syndrome: An Adjusted Indirect Treatment Comparison Meta-analysis","Qin D, Tao QF, Huang SL, Chen M, Zheng H.","Front Pharmacol. 2022 Feb 23;13:757969. doi: 10.3389/fphar.2022.757969. eCollection 2022.","Qin D","Front Pharmacol","2022","2022/03/14","PMC8906885","","10.3389/fphar.2022.757969"
"35280921","Thirty-day mortality with andexanet alfa compared with prothrombin complex concentrate therapy for life-threatening direct oral anticoagulant-related bleeding","Cohen AT, Lewis M, Connor A, Connolly SJ, Yue P, Curnutte J, Alikhan R, MacCallum P, Tan J, Green L.","J Am Coll Emerg Physicians Open. 2022 Mar 5;3(2):e12655. doi: 10.1002/emp2.12655. eCollection 2022 Apr.","Cohen AT","J Am Coll Emerg Physicians Open","2022","2022/03/14","PMC8898077","","10.1002/emp2.12655"
"35279814","Transarterial Radioembolization Versus Atezolizumab-Bevacizumab in Unresectable Hepatocellular Carcinoma: A Matching-Adjusted Indirect Comparison of Time to Deterioration in Quality of Life","Agirrezabal I, Brennan VK, Colaone F, Shergill S, Pereira H, Chatellier G, Vilgrain V.","Adv Ther. 2022 Mar 12. doi: 10.1007/s12325-022-02099-0. Online ahead of print.","Agirrezabal I","Adv Ther","2022","2022/03/13","","","10.1007/s12325-022-02099-0"
"35277411","Pharmacological and non-pharmacological interventions for adults with ADHD: protocol for a systematic review and network meta-analysis","Cortese S, Del Giovane C, Chamberlain S, Philipsen A, Young S, Bilbow A, Cipriani A.","BMJ Open. 2022 Mar 11;12(3):e058102. doi: 10.1136/bmjopen-2021-058102.","Cortese S","BMJ Open","2022","2022/03/12","PMC8919448","","10.1136/bmjopen-2021-058102"
"35272073","Comparison of Different Biologics for Treating Chronic Rhinosinusitis with Nasal Polyps: A Network Analysis","Cai S, Xu S, Lou H, Zhang L.","J Allergy Clin Immunol Pract. 2022 Mar 8:S2213-2198(22)00235-5. doi: 10.1016/j.jaip.2022.02.034. Online ahead of print.","Cai S","J Allergy Clin Immunol Pract","2022","2022/03/10","","","10.1016/j.jaip.2022.02.034"
"35267593","Feasibility Study of a Network Meta-Analysis and Unanchored Population-Adjusted Indirect Treatment Comparison of Niraparib, Olaparib, and Bevacizumab as Maintenance Therapies in Patients with Newly Diagnosed Advanced Ovarian Cancer","Lorusso D, Guy H, Samyshkin Y, Hawkes C, Estenson K, Coleman RL.","Cancers (Basel). 2022 Mar 2;14(5):1285. doi: 10.3390/cancers14051285.","Lorusso D","Cancers (Basel)","2022","2022/03/10","PMC8909094","","10.3390/cancers14051285"
"35237351","A population-based study in resected esophageal or gastroesophageal junction cancer aligned with CheckMate 577","Pape M, Vissers PAJ, Beerepoot LV, van Berge Henegouwen MI, Lagarde SM, Mook S, Moehler M, van Laarhoven HWM, Verhoeven RHA.","Ther Adv Med Oncol. 2022 Feb 26;14:17588359221075495. doi: 10.1177/17588359221075495. eCollection 2022.","Pape M","Ther Adv Med Oncol","2022","2022/03/03","PMC8883292","","10.1177/17588359221075495"
