key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id
rayyan-804153286,Geometric approaches to assessing the numerical feasibility for conducting matching-adjusted indirect comparisons.,2022,3,28,Pharmaceutical statistics,1539-1612 (Electronic),,,,Glimm E and Yau L,https://pubmed.ncbi.nlm.nih.gov/35343622/,eng,,England,"We discuss how to handle matching-adjusted indirect comparison (MAIC) from a data analyst's perspective. We introduce several multivariate data analysis methods to assess the appropriateness of MAIC for a given set of baseline characteristics. These methods focus on comparing the baseline variables used in the matching of a study that provides the summary statistics or aggregated data (AD) and a study that provides individual patient level data (IPD). The methods identify situations when no numerical solutions are possible with the MAIC method. This helps to avoid misleading results being produced. Moreover, it has been observed that sometimes contradicting results are reported by two sets of MAIC analyses produced by two teams, each having their own IPD and applying MAIC using the AD published by the other team. We show that an intrinsic property of the MAIC estimated weights can be a contributing factor for this phenomenon.","RAYYAN-INCLUSION: {""Max""=>""Excluded""} | RAYYAN-LABELS: to_read | RAYYAN-EXCLUSION-REASONS: methodological",35343622,
rayyan-804153287,Matching-adjusted indirect treatment comparison of chimeric antigen receptor T-cell therapies for third-line or later treatment of relapsed or refractory large B-cell lymphoma: lisocabtagene maraleucel versus tisagenlecleucel.,2022,3,25,Experimental hematology & oncology,2162-3619 (Print),11,1,17,Cartron G and Fox CP and Liu FF and Kostic A and Hasskarl J and Li D and Bonner A and Zhang Y and Maloney DG and Kuruvilla J,https://pubmed.ncbi.nlm.nih.gov/35337365/,eng,,,"BACKGROUND: There are no head-to-head clinical studies comparing chimeric antigen receptor (CAR) T-cell therapies for the treatment of relapsed or refractory aggressive large B-cell lymphomas. Naive, indirect comparisons may be inappropriate, as the study designs and patient populations could differ substantially. Matching-adjusted indirect comparisons (MAIC) can reduce many biases associated with indirect comparisons between studies. To determine the comparative efficacy and safety of lisocabtagene maraleucel (liso-cel) to tisagenlecleucel, we describe an unanchored MAIC of the pivotal studies TRANSCEND NHL 001 (TRANSCEND; NCT02631044; liso-cel) and JULIET (NCT02445248; tisagenlecleucel). METHODS: Individual patient data (IPD) from TRANSCEND were available to the authors; for the JULIET pivotal study, summary-level data from the published study were used. To balance the populations between two studies, IPD from TRANSCEND were adjusted to match the marginal distribution (e.g., mean, variance) of clinical factors among patients from JULIET. RESULTS: Results from the primary MAIC showed liso-cel had statistically significant greater efficacy than tisagenlecleucel (objective response rate: odds ratio [OR] = 2.78, 95% confidence interval [CI]: 1.63‒4.74; complete response rate: OR = 2.01, 95% CI: 1.22‒3.30; progression-free survival: hazard ratio [HR] = 0.65, 95% CI: 0.47‒0.91; overall survival: HR = 0.67, 95% CI: 0.47‒0.95). MAIC of safety outcomes showed lower ORs for all-grade and grade ≥ 3 cytokine release syndrome, and grade ≥ 3 prolonged cytopenia for liso-cel when compared with tisagenlecleucel; there were no statistically significant differences detected for other safety outcomes. CONCLUSIONS: Overall, this MAIC of two CAR T-cell therapies indicates liso-cel had favorable efficacy and a comparable or better safety profile relative to tisagenlecleucel. CLINICAL TRIAL REGISTRATION: ClinicalTrials.gov identifiers: NCT02631044 and NCT02445248.","RAYYAN-INCLUSION: {""Max""=>""Included""}",35337365,PMC8953336
rayyan-804153288,Carfilzomib 56 mg/m(2) twice-weekly in combination with dexamethasone and daratumumab (KdD) versus daratumumab in combination with bortezomib and dexamethasone (DVd): a matching-adjusted indirect treatment comparison.,2022,3,15,Leukemia & lymphoma,1029-2403 (Electronic),,,1-10,Weisel K and Nooka AK and Terpos E and Spencer A and Goldschmidt H and Dirnberger F and DeCosta L and Yusuf A and Kumar S,https://pubmed.ncbi.nlm.nih.gov/35289710/,eng,,United States,"Given the increasing use of frontline lenalidomide-based therapies in multiple myeloma (MM), there is an emerging need for lenalidomide-sparing regimens at relapse. Carfilzomib plus dexamethasone and daratumumab (KdD) and daratumumab plus bortezomib and dexamethasone (DVd) are lenalidomide-sparing triplet regimens that are approved for relapsed and/or refractory MM (R/RMM). In the absence of a head-to-head trial comparing these treatments, a matching-adjusted indirect treatment comparison (MAIC) was conducted to assess the efficacy and safety of KdD versus DVd. Results showed that treatment with KdD decreases the risk of progression or death versus DVd (HR 0.64; 95% confidence interval (CI): 0.46-0.90). Time-dependent analysis demonstrated a larger benefit for KdD after the first eight cycles. Unmatched subgroup analysis indicated that KdD may be particularly effective in lenalidomide-exposed and -refractory patients. The present analysis suggests that KdD improves outcomes compared with DVd in patients with R/RMM and may provide a rationale for a preferential treatment.","RAYYAN-INCLUSION: {""Max""=>""Included""}",35289710,
rayyan-804153289,Eluxadoline Versus Antispasmodics in the Treatment of Irritable Bowel Syndrome: An Adjusted Indirect Treatment Comparison Meta-analysis.,2022,,,Frontiers in pharmacology,1663-9812 (Print),13,,757969,Qin D and Tao QF and Huang SL and Chen M and Zheng H,https://pubmed.ncbi.nlm.nih.gov/35281934/,eng,,,"Objective: Eluxadoline is a newly approved drug for irritable bowel syndrome (IBS), but it has rarely been compared with positive controls. We aimed to compare eluxadoline with antispasmodics in the treatment of IBS. Methods: We searched the OVID Medline, Embase, and the Cochrane Central Register of Controlled Trials databases for randomized controlled trials (RCTs) comparing eluxadoline or antispasmodics with placebo. The search was conducted from 1 January 1980, to 1 September 2020, without any language restrictions. The primary efficacy outcome was the relief of abdominal pain, defined by a reduction of pain scores of at least 30% from baseline. The secondary efficacy outcome was the relief of global IBS symptoms, defined by a composite response of a decrease in abdominal pain and improvement in stool consistency on the same day for at least 50% of the days assessed. The data were pooled using a random-effects model. Outcome estimates were pooled by using Risk Ratios (RRs) and P-scores. Results: Forty-two trials with 8,457 participants were included from 45 articles. Compared with placebo, each of drotaverine, pinaverium, alverine combined with simethicone (ACS) and eluxadoline 100 mg was highly effective in the relief of abdominal pain, with drotaverine [RR, 2.71 (95% CI, 1.70 to 4.32), P-score = 0.95] ranking first. Drotaverine, otilonium, cimetropium, pinaverium, and eluxadoline 100 mg had significantly high the relief of global IBS symptomss, for which drotaverine [RR, 2.45 (95% CI, 1.42 to 4.22), P-score = 0.95] was ranked first. No significant difference was found between these interventions. Pinaverium had a significantly higher the relief of global IBS symptoms than eluxadoline [RR, 1.72 (95% CI, 1.33 to 2.21)] on sensitivity analysis. However, no significant difference was found in the number of adverse events between each intervention and the placebo. Conclusion: Our network meta-analysis showed that eluxadoline 100 mg was at least as effective as antispasmodics in relieving abdominal pain in IBS. But eluxadoline had more reported adverse events. Antispasmodics are still the first choice for the treatment of IBS.","RAYYAN-INCLUSION: {""Max""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no_paitc",35281934,PMC8906885
rayyan-804153290,Thirty-day mortality with andexanet alfa compared with prothrombin complex concentrate therapy for life-threatening direct oral anticoagulant-related bleeding.,2022,4,,Journal of the American College of Emergency Physicians open,2688-1152 (Electronic),3,2,e12655,Cohen AT and Lewis M and Connor A and Connolly SJ and Yue P and Curnutte J and Alikhan R and MacCallum P and Tan J and Green L,https://pubmed.ncbi.nlm.nih.gov/35280921/,eng,,,"OBJECTIVE: Compare 30-day mortality among patients receiving the specific reversal agent andexanet alfa versus replacement prothrombin complex concentrate (PCC) in the management of direct-acting oral anticoagulant (DOAC)-related bleeds. METHODS: Two patient-level datasets were used: ANNEXA-4, a prospective, single-arm trial of patients taking apixaban or rivaroxaban who received andexanet alfa and ORANGE, a prospective, observational study of anticoagulated patients in UK hospitals, some of whom received PCC. Patients were propensity score matched based on demographic and clinical characteristics. Subgroup analyses were performed by bleed type (intracranial hemorrhage [ICH], gastrointestinal [GI], other). Relative risk (RR) of all-cause 30-day mortality was calculated. RESULTS: 322 ANNEXA-4 patients treated with andexanet alfa (mean age = 77.7 years; 64.9% ICH) were matched with 88 ORANGE patients treated with PCC (mean age = 74.9 years, 67.1% ICH). Adjusted 30-day mortality for patients treated with andexanet alfa (14.6%) was lower than patients treated with PCC (34.1%; RR, 0.43; 95% CI, 0.29-0.63). In the ICH subgroup, patients treated with andexanet alfa had lower mortality (15.3%) than patients treated with PCC (48.9%; RR, 0.31; 95% CI, 0.20-0.48). Mortality risk was lowest for patients in the GI subgroup but did not differ significantly by treatment (12.2% for andexanet alfa vs 25.0% for PCC; RR, 0.49; 95% CI, 0.21-1.16). CONCLUSIONS: In this propensity score-matched comparison across 2 independent datasets, adjusted 30-day mortality rates were lower for patients treated with andexanet alfa than in matched patients receiving PCC. This indirect comparison was limited in that it could not account for several highly predictive variables including GCS score, hematoma volume, and expected survival. Further research is warranted to confirm the mortality differences between reversal/replacement agents for DOAC-related bleeding.","RAYYAN-INCLUSION: {""Max""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no_paitc",35280921,PMC8898077
rayyan-804153291,Transarterial Radioembolization Versus Atezolizumab-Bevacizumab in Unresectable Hepatocellular Carcinoma: A Matching-Adjusted Indirect Comparison of Time to Deterioration in Quality of Life.,2022,3,12,Advances in therapy,1865-8652 (Electronic),,,,Agirrezabal I and Brennan VK and Colaone F and Shergill S and Pereira H and Chatellier G and Vilgrain V,https://pubmed.ncbi.nlm.nih.gov/35279814/,eng,,United States,"INTRODUCTION: Given the relatively short life expectancy of patients with hepatocellular carcinoma (HCC), quality of life (QOL) plays a significant role in treatment selection. This analysis aimed to compare time to deterioration (TTD) in QOL with transarterial radioembolization (TARE) and atezolizumab-bevacizumab, as well as sorafenib, in advanced and unresectable HCC. METHODS: Patient-level data from SARAH (TARE using SIR-Spheres(®) Y-90 resin microspheres [SIR-Spheres] versus sorafenib) and aggregate data from IMbrave150 (atezolizumab-bevacizumab versus sorafenib) randomized controlled trials were used to conduct an anchored matching-adjusted indirect comparison (MAIC). Patients with a Child-Pugh score B in SARAH were excluded to align with exclusion criteria in IMbrave150. To identify potential effect modifiers for adjustment, the literature was searched and multivariate Cox proportional hazards models were implemented using SARAH data. Patients from SARAH were then weighted to balance with baseline characteristics from IMbrave150. Median TTD in QOL and hazard ratios (HRs) were calculated. RESULTS: Four potential effect modifiers were identified and used for adjustment: cause of disease (viral/non-viral), macrovascular invasion, Eastern Cooperative Oncology Group performance score, and alpha-fetoprotein level. The MAIC included 217 patients from SARAH (TARE = 94; sorafenib = 123). Median TTD in QOL was 11.23 and 8.64 months for atezolizumab-bevacizumab and TARE, respectively (HR = 1.06; 95% confidence interval [CI] 0.75-1.50; p = 0.725). A sensitivity analysis was conducted adjusting for cause of disease defined as hepatitis B/hepatitis C/non-viral: median TTD in QOL was higher for TARE compared with atezolizumab-bevacizumab (19.88 vs 11.23 months; HR = 0.66; 95% CI 0.36-1.19; p = 0.163). Sorafenib resulted in the shortest TTD in QOL, with statistically significant differences in both base case and sensitivity analyses. CONCLUSION: TARE using SIR-Spheres may achieve similar TTD in QOL compared with atezolizumab-bevacizumab, as the analyses found no statistically significant differences between these two interventions. Both TARE using SIR-Spheres and atezolizumab-bevacizumab seem to be more efficacious than sorafenib in maintaining QOL.","RAYYAN-INCLUSION: {""Max""=>""Included""}",35279814,
rayyan-804153292,Pharmacological and non-pharmacological interventions for adults with ADHD: protocol for a systematic review and network meta-analysis.,2022,3,11,BMJ open,2044-6055 (Electronic),12,3,e058102,Cortese S and Del Giovane C and Chamberlain S and Philipsen A and Young S and Bilbow A and Cipriani A,https://pubmed.ncbi.nlm.nih.gov/35277411/,eng,,,"INTRODUCTION: It is unclear how pharmacological and non-pharmacological interventions compare with each other in terms of efficacy and tolerability for core symptoms and additional problems in adults with attention-deficit/hyperactivity disorder (ADHD). We aim to conduct the first network meta-analysis (NMA) comparing pharmacological and non-pharmacological interventions (or their combinations) in adults with ADHD. METHODS AND ANALYSIS: We will follow the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement for NMAs. We will search a broad set of electronic databases/registries and contact drug companies and experts in the field to retrieve published and unpublished randomised controlled trials (RCTs) (parallel or cross-over) of medications (either licensed or unlicensed) and any non-pharmacological intervention in adults (≥18 years) with ADHD. Primary outcomes will be: (1) change in severity of ADHD core symptoms, and (2) acceptability (all-cause discontinuation). Secondary outcomes will include tolerability (drop-out due to side effects) and change in the severity of emotional dysregulation, executive dysfunctions and quality of life. The risk of bias in each individual RCT included in the NMA will be assessed using the Cochrane Risk of Bias tool-version 2. We will evaluate the transitivity assumption comparing the distribution of possible effect modifiers across treatment comparisons. We will perform Bayesian NMA for each outcome with random-effects model in OpenBUGS. Pooled estimates of NMA will be obtained using the Markov Chains Monte Carlo method. We will judge the credibility in the evidence derived from the NMA using the CINeMA tool (which includes assessment of publication bias). We will conduct a series of sensitivity analyses to assess the robustness of the findings. ETHICS AND DISSEMINATION: As this is the protocol for an aggregate-data level NMA, ethical approval will not be required. Results will be disseminated at national/international conferences and in peer-reviewed journals. PROSPERO REGISTRATION NUMBER: CRD42021265576.","RAYYAN-INCLUSION: {""Max""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no_paitc",35277411,PMC8919448
rayyan-804153293,Comparison of Different Biologics for Treating Chronic Rhinosinusitis with Nasal Polyps: A Network Analysis.,2022,3,8,The journal of allergy and clinical immunology. In practice,2213-2201 (Electronic),,,,Cai S and Xu S and Lou H and Zhang L,https://pubmed.ncbi.nlm.nih.gov/35272073/,eng,,United States,"BACKGROUND: Several promising clinical trials have demonstrated the effects of type 2 biologics compared with placebos in chronic rhinosinusitis with nasal polyps (CRSwNP). However, there are no head-to-head randomized controlled trials (RCTs) between the biologics. OBJECTIVE: To compare the efficacy and safety of different biologics used for the treatment of CRSwNP. METHODS: We systematically identified RCTs investigating the effects of biologics for CRSwNP. Primary outcomes were nasal polyp score (NPS), nasal congestion severity, and serious adverse events. Secondary outcomes included the 22-item Sino-Nasal Outcome Test (SNOT-22) score, loss of smell severity, the University of Pennsylvania Smell Identification Test score, and the Lund-Mackay computed tomography score. Bucher indirect treatment comparison (ITC) was used to compare the outcome parameters. RESULTS: Seven RCTs (Bachert 2017, OSTRO, POLYP 1, POLYP 2, SINUS-24, SINUS-52, and SYNAPSE) involving 1913 patients and 4 biologics (benralizumab, dupilumab, mepolizumab, and omalizumab) were included for ITC. Dupilumab presented better effects in decreasing NPS and nasal congestion severity compared with the other 3 biologics at 24 weeks of the treatment and at the end of follow-up (more than 48 weeks). Benralizumab was the least effective in reducing nasal congestion severity and SNOT-22 score at 24 weeks. No significant differences were observed between the effects of the other biologics. CONCLUSION: Our current findings suggest that dupilumab exhibits the best efficacy and safety for the treatment of CRSwNP.","RAYYAN-INCLUSION: {""Max""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no_paitc",35272073,
rayyan-804153294,"Feasibility Study of a Network Meta-Analysis and Unanchored Population-Adjusted Indirect Treatment Comparison of Niraparib, Olaparib, and Bevacizumab as Maintenance Therapies in Patients with Newly Diagnosed Advanced Ovarian Cancer.",2022,3,2,Cancers,2072-6694 (Print),14,5,,Lorusso D and Guy H and Samyshkin Y and Hawkes C and Estenson K and Coleman RL,https://pubmed.ncbi.nlm.nih.gov/35267593/,eng,,,"Selecting a first-line (1L) maintenance option for ovarian cancer is challenging given the variety of therapies, differing trials, and the lack of head-to-head data for angiogenesis and poly(ADP-ribose) polymerase (PARP) inhibitors. Thus, indirect treatment comparisons (ITCs) can aid treatment decision making. This study assessed the feasibility of two ITCs, a network meta-analysis (NMA) and a population-adjusted ITC (PAIC), comparing the efficacy of the PARP inhibitor niraparib in the PRIMA trial (NCT02655016) with other 1L maintenance treatments. A systematic literature review was conducted to identify trials using the Cochrane Handbook for Systematic Reviews of Interventions to assess differences in trial design, population characteristics, treatment arms, and outcome measures. All 12 trials identified were excluded from the NMA due to the absence of a common comparator and differences in survival measures and/or inclusion criteria. The PAIC comparing PRIMA and PAOLA-1 trials was also not feasible due to differences in inclusion criteria, survival measures, and the previous receipt of chemotherapy/bevacizumab. Neither ITC met recommended guidelines for analysis; the results of such comparisons would not be considered appropriate evidence when selecting 1L maintenance options in ovarian cancer. ITCs in this setting should be performed cautiously, as many factors can preclude objective trial comparisons.","RAYYAN-INCLUSION: {""Max""=>""Excluded""} | RAYYAN-LABELS: feasibility | RAYYAN-EXCLUSION-REASONS: methodological | USER-NOTES: {""Max""=>[""interesting to keep it in the discussion of the article""]}",35267593,PMC8909094
rayyan-804153296,A population-based study in resected esophageal or gastroesophageal junction cancer aligned with CheckMate 577.,2022,,,Therapeutic advances in medical oncology,1758-8340 (Print),14,,17588359221075495,Pape M and Vissers PAJ and Beerepoot LV and van Berge Henegouwen MI and Lagarde SM and Mook S and Moehler M and van Laarhoven HWM and Verhoeven RHA,https://pubmed.ncbi.nlm.nih.gov/35237351/,eng,,,"BACKGROUND: Results of CheckMate 577 show an improved disease-free survival for patients with resected esophageal or gastroesophageal junction cancer treated with adjuvant nivolumab compared with placebo (22.4 versus 11.0 months). Population-based data can provide insights in outcomes from clinical practice. The aim of our study was to investigate disease-free and overall survival in a nationwide population aligned with the inclusion criteria of CheckMate 577. PATIENTS AND METHODS: Resected patients with stage II/III esophageal or gastroesophageal junction cancer (2015-2016) treated with neoadjuvant chemoradiotherapy were selected from the Netherlands Cancer Registry. Patients with cervical esophageal cancer, irradical resection, or complete pathological response were excluded. Disease-free and overall survival were assessed from 12 weeks after resection using Kaplan-Meier methods. In addition, to adjust for differences in characteristics between CheckMate 577 and our population-based cohort, a matching-adjusted indirect comparison was performed for pathological lymph node status and pathological tumor status. RESULTS: We identified 634 patients. Sixty percent of patients were diagnosed with recurrence or were deceased at the end of follow-up. Median disease-free survival was 19.7 months and median overall survival was 32.2 months. After the matching procedure, the median disease-free survival was 17.2 months and median overall survival was 28.2 months. CONCLUSIONS: Disease-free survival in our population-based study was considerably longer than the placebo population of CheckMate-577 (19.7 versus 11.0 months). Possible explanations are differences in characteristics, quality of esophageal cancer care, or differential strategies for evaluation of recurrence. In the Netherlands postoperative imaging is not part of the standard follow-up as opposed to the standard postoperative imaging in the CheckMate 577 trial. The difference in postoperative imaging could partially explain the longer disease-free survival observed in our study. Quality and optimization of current treatment modalities remain important aspects of esophageal cancer care.","RAYYAN-INCLUSION: {""Max""=>""Included""}",35237351,PMC8883292
