PMID,included,full_article,exclusion_reasons,third,during_review
35343622,FALSE,FALSE,methodological,FALSE,FALSE
35337365,TRUE,FALSE,NA,FALSE,FALSE
35289710,TRUE,FALSE,NA,FALSE,FALSE
35281934,FALSE,FALSE,no_paitc,FALSE,FALSE
35280921,FALSE,FALSE,no_paitc,FALSE,FALSE
35279814,TRUE,FALSE,NA,FALSE,FALSE
35277411,FALSE,FALSE,no_paitc,FALSE,FALSE
35272073,FALSE,FALSE,no_paitc,FALSE,FALSE
35267593,FALSE,FALSE,methodological,FALSE,FALSE
35232230,TRUE,FALSE,NA,FALSE,FALSE
35179764,FALSE,FALSE,no_itc,FALSE,FALSE
35175308,TRUE,FALSE,NA,FALSE,FALSE
35158805,FALSE,TRUE,other_paitc,FALSE,FALSE
35157216,TRUE,FALSE,NA,FALSE,FALSE
35138877,FALSE,FALSE,no_paitc,FALSE,FALSE
35129275,FALSE,FALSE,not_original_article,FALSE,FALSE
35128059,FALSE,FALSE,wrong_topic,FALSE,FALSE
35114819,TRUE,FALSE,NA,FALSE,FALSE
35106186,FALSE,FALSE,no_paitc,FALSE,FALSE
35090692,FALSE,FALSE,not_original_article,FALSE,FALSE
35090691,FALSE,FALSE,not_original_article,FALSE,FALSE
35090690,FALSE,FALSE,not_original_article,FALSE,FALSE
35090688,FALSE,TRUE,no_paitc,FALSE,FALSE
35073727,TRUE,FALSE,NA,FALSE,FALSE
35068168,TRUE,FALSE,NA,FALSE,FALSE
35058055,FALSE,FALSE,no_paitc,FALSE,FALSE
35044552,FALSE,FALSE,no_paitc,FALSE,FALSE
35042448,TRUE,FALSE,NA,FALSE,FALSE
35040693,TRUE,TRUE,NA,FALSE,FALSE
35030634,FALSE,TRUE,no_paitc,FALSE,FALSE
35028245,FALSE,FALSE,no_paitc,FALSE,FALSE
34999620,FALSE,FALSE,no_paitc,FALSE,FALSE
34981073,FALSE,FALSE,no_paitc,FALSE,FALSE
34978255,TRUE,FALSE,NA,FALSE,FALSE
34966607,FALSE,FALSE,no_paitc,FALSE,FALSE
34931610,FALSE,TRUE,no_paitc,FALSE,FALSE
34922383,TRUE,TRUE,NA,FALSE,FALSE
34912479,FALSE,TRUE,other_paitc,FALSE,FALSE
34912478,TRUE,FALSE,NA,FALSE,FALSE
34885106,FALSE,FALSE,no_paitc,FALSE,FALSE
34877623,TRUE,FALSE,NA,FALSE,FALSE
34864380,FALSE,FALSE,no_paitc,FALSE,FALSE
34841472,FALSE,FALSE,no_itc,FALSE,FALSE
34822128,FALSE,TRUE,no_paitc,FALSE,FALSE
34797506,TRUE,FALSE,NA,FALSE,FALSE
34765537,TRUE,FALSE,NA,FALSE,FALSE
34756316,FALSE,FALSE,other_paitc,FALSE,FALSE
34754257,TRUE,FALSE,NA,FALSE,FALSE
34754238,TRUE,FALSE,NA,FALSE,FALSE
34751591,TRUE,FALSE,NA,FALSE,FALSE
