PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,notes,date
35337365,Matching-adjusted indirect treatment comparison of chimeric antigen receptor T-cell therapies for third-line or later treatment of relapsed or refractory large B-cell lymphoma: lisocabtagene maraleucel versus tisagenlecleucel,"Cartron G, Fox CP, Liu FF, Kostic A, Hasskarl J, Li D, Bonner A, Zhang Y, Maloney DG, Kuruvilla J.",Exp Hematol Oncol. 2022 Mar 25;11(1):17. doi: 10.1186/s40164-022-00268-z.,Cartron G,Exp Hematol Oncol,2022,26/03/2022,PMC8953336,NA,10.1186/s40164-022-00268-z,,08/07/2022
35289710,Carfilzomib 56â€‰mg/m(2) twice-weekly in combination with dexamethasone and daratumumab (KdD) versus daratumumab in combination with bortezomib and dexamethasone (DVd): a matching-adjusted indirect treatment comparison,"Weisel K, Nooka AK, Terpos E, Spencer A, Goldschmidt H, Dirnberger F, DeCosta L, Yusuf A, Kumar S.",Leuk Lymphoma. 2022 Mar 15:1-10. doi: 10.1080/10428194.2022.2047962. Online ahead of print.,Weisel K,Leuk Lymphoma,2022,15/03/2022,NA,NA,10.1080/10428194.2022.2047962,,19/07/2022
35279814,Transarterial Radioembolization Versus Atezolizumab-Bevacizumab in Unresectable Hepatocellular Carcinoma: A Matching-Adjusted Indirect Comparison of Time to Deterioration in Quality of Life,"Agirrezabal I, Brennan VK, Colaone F, Shergill S, Pereira H, Chatellier G, Vilgrain V.",Adv Ther. 2022 Mar 12. doi: 10.1007/s12325-022-02099-0. Online ahead of print.,Agirrezabal I,Adv Ther,2022,13/03/2022,NA,NA,10.1007/s12325-022-02099-0,,09/07/2022
35237351,A population-based study in resected esophageal or gastroesophageal junction cancer aligned with CheckMate 577,"Pape M, Vissers PAJ, Beerepoot LV, van Berge Henegouwen MI, Lagarde SM, Mook S, Moehler M, van Laarhoven HWM, Verhoeven RHA.",Ther Adv Med Oncol. 2022 Feb 26;14:17588359221075495. doi: 10.1177/17588359221075495. eCollection 2022.,Pape M,Ther Adv Med Oncol,2022,03/03/2022,PMC8883292,NA,10.1177/17588359221075495,"Will be excluded from the review, because doesn't really compare treatment effects (+ different ""MAIC"" methodology)",19/07/2022
35232230,Effectiveness of crizotinib versus entrectinib in ROS1-positive non-small-cell lung cancer using clinical and real-world data,"Tremblay G, Groff M, Iadeluca L, Daniele P, Wilner K, Wiltshire R, Bartolome L, Usari T, Cappelleri JC, Camidge DR.",Future Oncol. 2022 Mar 2. doi: 10.2217/fon-2021-1102. Online ahead of print.,Tremblay G,Future Oncol,2022,02/03/2022,NA,NA,10.2217/fon-2021-1102,,10/07/2022
35175308,Proptosis and Diplopia Response With Teprotumumab and Placebo vs the Recommended Treatment Regimen With Intravenous Methylprednisolone in Moderate to Severe Thyroid Eye Disease: A Meta-analysis and Matching-Adjusted Indirect Comparison,"Douglas RS, Dailey R, Subramanian PS, Barbesino G, Ugradar S, Batten R, Qadeer RA, Cameron C.",JAMA Ophthalmol. 2022 Feb 17:e216284. doi: 10.1001/jamaophthalmol.2021.6284. Online ahead of print.,Douglas RS,JAMA Ophthalmol,2022,17/02/2022,PMC8855315,NA,10.1001/jamaophthalmol.2021.6284,,15/07/2022
35157216,"A Matching-Adjusted Indirect Comparison of Single-Arm Trials in Patients with Relapsed or Refractory Follicular Lymphoma Who Received at Least Two Prior Systemic Treatments: Tazemetostat was Associated with a Lower Risk for Safety Outcomes Versus the PI3-Kinase Inhibitors Idelalisib, Duvelisib, Copanlisib, and Umbralisib","Proudman D, Nellesen D, Gupta D, Adib D, Yang J, Mamlouk K.",Adv Ther. 2022 Feb 14. doi: 10.1007/s12325-022-02054-z. Online ahead of print.,Proudman D,Adv Ther,2022,14/02/2022,NA,NA,10.1007/s12325-022-02054-z,,15/07/2022
35114819,Indirect treatment comparisons of avapritinib versus midostaurin for patients with advanced systemic mastocytosis,"Pilkington H, Smith S, Roskell N, Iannazzo S.",Future Oncol. 2022 Feb 4. doi: 10.2217/fon-2021-1509. Online ahead of print.,Pilkington H,Future Oncol,2022,04/02/2022,NA,NA,10.2217/fon-2021-1509,,14/09/2022
35073727,Indirect comparison of pembrolizumab monotherapy versus nivolumabÂ +Â ipilimumab in first-line metastatic lung cancer,"Halmos B, Burke T, Kalyvas C, Insinga R, Vandormael K, Frederickson A, Piperdi B.",Immunotherapy. 2022 Apr;14(5):295-307. doi: 10.2217/imt-2021-0273. Epub 2022 Jan 25.,Halmos B,Immunotherapy,2022,25/01/2022,NA,NA,10.2217/imt-2021-0273,,18/07/2022
35068168,Indirect comparison of apomorphine sublingual film and levodopa inhalation powder for Parkinson's disease 'OFF' episodes,"Thach A, Zichlin ML, Kirson N, Yang K, Gaburo K, Pappert E, Mehta D, Williams GR.",J Comp Eff Res. 2022 Mar;11(4):285-295. doi: 10.2217/cer-2021-0178. Epub 2022 Jan 24.,Thach A,J Comp Eff Res,2022,24/01/2022,NA,NA,10.2217/cer-2021-0178,,18/07/2022
