doi,PMID,section,ITC num,Ind studies num,questions,reviewer 1,reviewer 2,decision,identical,reviewer,Notes reviewer 1,Notes reviewer 2
10.1001/jamaophthalmol.2021.6284,35175308,general_information,,,Medical Condition of Interest Name,thyroid eye disease,thyroid eye disease : proptosis and diplopia,thyroid eye disease,FALSE,JL,NA,NA
10.1001/jamaophthalmol.2021.6284,35175308,general_information,,,Countries of first author affiliations,,,usa,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,general_information,,,Countries of last author affiliations,canada,usa,canada,FALSE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,general_information,,,"Positions of study investigators (for any authors of the article, any that applies)",,,"Academic, Private Data Analysis Company",TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,general_information,,,"At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company",,,Yes,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,general_information,,,Mentioned sources of funding,,,Pharmaceutical Industry,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,general_information,,,"Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article",,,Yes,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,general_information,,,Mention of a systematic review to find the studies to compare treatments of interest,,,Yes,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,1,Patient-level data used,,,Yes,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,1,Clinical Trial,,,Yes,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,1,NCT (only for clinical trial registered on clinicaltrials.gov),,,NCT01868997,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,1,Country where the clinical trial/observational study was conducted (international if more than one),,,international,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,1,Phase of the clinical trial (clinical trial only),,,2,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,1,Number of treatment arms (clinical trial only),,,2 or more,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,2,Patient-level data used,,,Yes,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,2,Clinical Trial,,,Yes,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,2,NCT (only for clinical trial registered on clinicaltrials.gov),,,NCT03298867,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,2,Country where the clinical trial/observational study was conducted (international if more than one),,,international,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,2,Phase of the clinical trial (clinical trial only),,,3,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,2,Number of treatment arms (clinical trial only),,,2 or more,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,3,Patient-level data used,,,No,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,3,Clinical Trial,Yes,No,No,FALSE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,3,Data source name (only if observational study or clinical trial without NCT),"bartalena at al., 2012",meta-analysis from the authors,meta-analysis of clinical trials from 12 articles,FALSE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,3,Country where the clinical trial/observational study was conducted (international if more than one),,,international,TRUE,JL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,3,Number of treatment arms (clinical trial only),2 or more,,XXXX,FALSE,JL,,
10.1002/edm2.259,34277983,general_information,,,Medical Condition of Interest Name,type 2 diabetes,type 2 diabetes (cardiovascular outcomes),type 2 diabetes,FALSE,JL,NA,NA
10.1002/edm2.259,34277983,general_information,,,Countries of first author affiliations,,,uk,TRUE,JL,,
10.1002/edm2.259,34277983,general_information,,,Countries of last author affiliations,uk,"danemark, sweden",denmark,FALSE,JL,,
10.1002/edm2.259,34277983,general_information,,,"Positions of study investigators (for any authors of the article, any that applies)",,,"Academic, Pharmaceutical Industry, Private Data Analysis Company",TRUE,JL,,
10.1002/edm2.259,34277983,general_information,,,"At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company",,,Yes,TRUE,JL,,
10.1002/edm2.259,34277983,general_information,,,Mentioned sources of funding,,,Pharmaceutical Industry,TRUE,JL,,
10.1002/edm2.259,34277983,general_information,,,"Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article",,,Yes,TRUE,JL,,
10.1002/edm2.259,34277983,general_information,,,Mention of a systematic review to find the studies to compare treatments of interest,,,Yes,TRUE,JL,,
10.1002/edm2.259,34277983,study_information,,1,Patient-level data used,,,Yes,TRUE,JL,,
10.1002/edm2.259,34277983,study_information,,1,Clinical Trial,,,Yes,TRUE,JL,,
10.1002/edm2.259,34277983,study_information,,1,NCT (only for clinical trial registered on clinicaltrials.gov),,,NCT01720446,TRUE,JL,,
10.1002/edm2.259,34277983,study_information,,1,Country where the clinical trial/observational study was conducted (international if more than one),,,international,TRUE,JL,,
10.1002/edm2.259,34277983,study_information,,1,Phase of the clinical trial (clinical trial only),,,3,TRUE,JL,,
10.1002/edm2.259,34277983,study_information,,1,Number of treatment arms (clinical trial only),,,2 or more,TRUE,JL,,
