doi,PMID,section,ITC num,Ind studies num,questions,reviewer 1,reviewer 2,decision,identical,reviewer,Notes reviewer 1,Notes reviewer 2
10.1007/bf03261873,23113551,general_information,NA,NA,Medical Condition of Interest Name,NA,NA,attention-deficit/hyperactivity disorder,TRUE,DH,NA,NA
10.1007/bf03261873,23113551,general_information,NA,NA,Countries of first author affiliations,NA,NA,usa,TRUE,DH,NA,NA
10.1007/bf03261873,23113551,general_information,NA,NA,Countries of last author affiliations,NA,NA,usa,TRUE,DH,NA,NA
10.1007/bf03261873,23113551,general_information,NA,NA,"Positions of study investigators (for any authors of the article, any that applies)",NA,NA,"Pharmaceutical Industry, Private Data Analysis Company",TRUE,DH,NA,NA
10.1007/bf03261873,23113551,general_information,NA,NA,"At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company",NA,NA,Yes,TRUE,DH,NA,NA
10.1007/bf03261873,23113551,general_information,NA,NA,Mentioned sources of funding,NA,NA,Pharmaceutical Industry,TRUE,DH,NA,NA
10.1007/bf03261873,23113551,general_information,NA,NA,"Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article",NA,NA,Yes,TRUE,DH,NA,NA
10.1007/bf03261873,23113551,general_information,NA,NA,Mention of a systematic review to find the studies to compare treatments of interest,NA,NA,Yes,TRUE,DH,NA,NA
10.1007/bf03261873,23113551,study_information,NA,1,Patient-level data used,NA,NA,Yes,TRUE,DH,NA,NA
10.1007/bf03261873,23113551,study_information,NA,1,Clinical Trial,NA,NA,Yes,TRUE,DH,NA,NA
10.1007/bf03261873,23113551,study_information,NA,1,NCT (only for clinical trial registered on clinicaltrials.gov),NA,NA,NCT00152009,TRUE,DH,NA,NA
10.1007/bf03261873,23113551,study_information,NA,1,Phase of the clinical trial (clinical trial only),NA,NA,3,TRUE,DH,NA,NA
10.1007/bf03261873,23113551,study_information,NA,1,Number of treatment arms (clinical trial only),NA,NA,2 or more,TRUE,DH,NA,NA
10.1007/bf03261873,23113551,study_information,NA,1,Country where the clinical trial/observational study was conducted (international if more than one),unknown,NA,unknown,FALSE,DH,NA,NA
10.1007/bf03261873,23113551,study_information,NA,2,Patient-level data used,NA,NA,Yes,TRUE,DH,NA,NA
10.1007/bf03261873,23113551,study_information,NA,2,Clinical Trial,NA,NA,Yes,TRUE,DH,NA,NA
10.1007/bf03261873,23113551,study_information,NA,2,NCT (only for clinical trial registered on clinicaltrials.gov),NA,NCT00150618,NCT00150618,FALSE,DH,NA,NA
10.1007/bf03261873,23113551,study_information,NA,2,Phase of the clinical trial (clinical trial only),NA,3,3,FALSE,DH,NA,NA
10.1007/bf03261873,23113551,study_information,NA,2,Number of treatment arms (clinical trial only),NA,NA,2 or more,TRUE,DH,NA,NA
10.1007/bf03261873,23113551,study_information,NA,2,Data source name (only if observational study or clinical trial without NCT),sallee et al. (2009),NA,sallee et al. (2009),FALSE,DH,NA,NA
10.1007/bf03261873,23113551,study_information,NA,2,Country where the clinical trial/observational study was conducted (international if more than one),usa,NA,usa,FALSE,DH,NA,NA
10.1007/bf03261873,23113551,study_information,NA,3,Patient-level data used,NA,NA,No,TRUE,DH,NA,NA
10.1007/bf03261873,23113551,study_information,NA,3,Clinical Trial,NA,NA,Yes,TRUE,DH,NA,NA
10.1007/bf03261873,23113551,study_information,NA,3,Data source name (only if observational study or clinical trial without NCT),NA,NA,michelson et al. (2001),TRUE,DH,NA,NA
10.1007/bf03261873,23113551,study_information,NA,3,Country where the clinical trial/observational study was conducted (international if more than one),NA,NA,usa,TRUE,DH,NA,NA
10.1007/bf03261873,23113551,study_information,NA,3,Number of treatment arms (clinical trial only),NA,NA,2 or more,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,general_information,NA,NA,Medical Condition of Interest Name,NA,NA,chronic lymphocytic leukemia,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,general_information,NA,NA,Countries of first author affiliations,NA,NA,belgium,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,general_information,NA,NA,Countries of last author affiliations,NA,NA,uk,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,general_information,NA,NA,"Positions of study investigators (for any authors of the article, any that applies)",NA,NA,Pharmaceutical Industry,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,general_information,NA,NA,"At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company",NA,NA,Not mentioned,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,general_information,NA,NA,Mentioned sources of funding,NA,NA,Pharmaceutical Industry,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,general_information,NA,NA,"Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article",NA,NA,Yes,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,general_information,NA,NA,Mention of a systematic review to find the studies to compare treatments of interest,NA,NA,No,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,study_information,NA,1,Patient-level data used,NA,NA,Yes,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,study_information,NA,1,Clinical Trial,NA,NA,Yes,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,study_information,NA,1,NCT (only for clinical trial registered on clinicaltrials.gov),NA,NA,NCT01722487,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,study_information,NA,1,Country where the clinical trial/observational study was conducted (international if more than one),NA,NA,international,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,study_information,NA,1,Phase of the clinical trial (clinical trial only),NA,NA,3,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,study_information,NA,1,Number of treatment arms (clinical trial only),NA,NA,2 or more,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,study_information,NA,2,Patient-level data used,NA,NA,No,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,study_information,NA,2,Clinical Trial,NA,NA,Yes,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,study_information,NA,2,NCT (only for clinical trial registered on clinicaltrials.gov),NA,NA,NCT01010061,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,study_information,NA,2,Country where the clinical trial/observational study was conducted (international if more than one),NA,NA,international,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,study_information,NA,2,Phase of the clinical trial (clinical trial only),NA,NA,3,TRUE,DH,NA,NA
10.1007/s12325-017-0564-1,28573505,study_information,NA,2,Number of treatment arms (clinical trial only),NA,NA,2 or more,TRUE,DH,NA,NA
10.1007/s12325-019-01156-5,31813086,general_information,NA,NA,Medical Condition of Interest Name,NA,NA,non-metastatic castration-resistant prostate cancer,TRUE,DH,NA,NA
10.1007/s12325-019-01156-5,31813086,general_information,NA,NA,Countries of first author affiliations,NA,NA,uk,TRUE,DH,NA,NA
