doi,PMID,section,ITC num,Ind studies num,questions,reviewer 1,reviewer 2,decision,identical,reviewer,Notes reviewer 1,Notes reviewer 2
10.1001/jamaophthalmol.2021.6284,35175308,general_information,,,Medical Condition of Interest Name,thyroid eye disease,thyroid eye disease : proptosis and diplopia,XXXX,FALSE,ASL,NA,NA
10.1001/jamaophthalmol.2021.6284,35175308,general_information,,,Countries of first author affiliations,,,usa,TRUE,ASL,,
10.1001/jamaophthalmol.2021.6284,35175308,general_information,,,Countries of last author affiliations,canada,usa,XXXX,FALSE,ASL,,
10.1001/jamaophthalmol.2021.6284,35175308,general_information,,,"Positions of study investigators (for any authors of the article, any that applies)",,,"Academic, Private Data Analysis Company",TRUE,ASL,,
10.1001/jamaophthalmol.2021.6284,35175308,general_information,,,"At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company",,,Yes,TRUE,ASL,,
10.1001/jamaophthalmol.2021.6284,35175308,general_information,,,Mentioned sources of funding,,,Pharmaceutical Industry,TRUE,ASL,,
10.1001/jamaophthalmol.2021.6284,35175308,general_information,,,"Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article",,,Yes,TRUE,ASL,,
10.1001/jamaophthalmol.2021.6284,35175308,general_information,,,Mention of a systematic review to find the studies to compare treatments of interest,,,Yes,TRUE,ASL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,1,Patient-level data used,,,Yes,TRUE,ASL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,1,Clinical Trial,,,Yes,TRUE,ASL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,1,NCT (only for clinical trial registered on clinicaltrials.gov),,,NCT01868997,TRUE,ASL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,1,Country where the clinical trial/observational study was conducted (international if more than one),,,international,TRUE,ASL,,
10.1001/jamaophthalmol.2021.6284,35175308,study_information,,1,Phase of the clinical trial (clinical trial only),,,2,TRUE,ASL,,
