doi,PMID,section,ITC num,Ind studies num,questions,reviewer 1,reviewer 2,decision,identical,reviewer,Notes reviewer 1,Notes reviewer 2
10.1185/03007995.2011.576238,21524239,general_information,NA,NA,Medical Condition of Interest Name,chronic myeloid leukemia in the chronic phase,chronic myeloid leukemia,XXXX,FALSE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,general_information,NA,NA,Countries of first author affiliations,NA,NA,usa,TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,general_information,NA,NA,Countries of last author affiliations,NA,NA,usa,TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,general_information,NA,NA,"Positions of study investigators (for any authors of the article, any that applies)",NA,NA,"Academic, Pharmaceutical Industry, Private Data Analysis Company",TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,general_information,NA,NA,"At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company",NA,NA,Yes,TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,general_information,NA,NA,Mentioned sources of funding,NA,NA,Pharmaceutical Industry,TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,general_information,NA,NA,"Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article",NA,NA,Yes,TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,general_information,NA,NA,Mention of a systematic review to find the studies to compare treatments of interest,NA,NA,No,TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,study_information,NA,1,Patient-level data used,NA,NA,Yes,TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,study_information,NA,1,Clinical Trial,NA,NA,Yes,TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,study_information,NA,1,NCT (only for clinical trial registered on clinicaltrials.gov),NA,NA,NCT00471497,TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,study_information,NA,1,Country where the clinical trial/observational study was conducted (international if more than one),NA,NA,international,TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,study_information,NA,1,Phase of the clinical trial (clinical trial only),NA,NA,3,TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,study_information,NA,1,Number of treatment arms (clinical trial only),NA,NA,2 or more,TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,study_information,NA,2,Patient-level data used,NA,NA,No,TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,study_information,NA,2,Clinical Trial,NA,NA,Yes,TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,study_information,NA,2,NCT (only for clinical trial registered on clinicaltrials.gov),NA,NA,NCT00481247,TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,study_information,NA,2,Country where the clinical trial/observational study was conducted (international if more than one),NA,NA,international,TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,study_information,NA,2,Phase of the clinical trial (clinical trial only),NA,NA,3,TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,study_information,NA,2,Number of treatment arms (clinical trial only),NA,NA,2 or more,TRUE,BZ,NA,NA
10.1185/03007995.2011.576238,21524239,methodology,1,NA,Treatment name 1,NA,NA,nilotinib,TRUE,BZ,unanchored despite the presence of a potential treatment arm to anchor to,"""As a negative control, the analysis was repeated for the randomized imatinib arms from ENESTnd and DASISION: if the trials were well-balanced after weighting, no average differences in comparably assessed outcomes would be expected between the imatinib arms. ""

""with individual patient values for all matched-on baseline characteristics included as predictors. "" predictors = ????"
