doi;PMID;section;ITC num;Ind studies num;questions;reviewer 1;reviewer 2;decision;identical;Notes reviewer 1;Notes reviewer 2
10.1111/bjd.16140;29171861;general_information;NA;NA;Medical Condition of Interest Name;NA;NA;moderate-to-severe plaque psoriasis;TRUE;NA;NA
10.1111/bjd.16140;29171861;general_information;NA;NA;Countries of first author affiliations;NA;NA;uk;TRUE;NA;NA
10.1111/bjd.16140;29171861;general_information;NA;NA;Countries of last author affiliations;NA;NA;germany;TRUE;NA;NA
10.1111/bjd.16140;29171861;general_information;NA;NA;Positions of study investigators (for any authors of the article, any that applies);NA;NA;Academic, Pharmaceutical Industry;TRUE;NA;NA
10.1111/bjd.16140;29171861;general_information;NA;NA;At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company;Yes;Not mentioned;Not mentioned;FALSE;NA;NA
10.1111/bjd.16140;29171861;general_information;NA;NA;Mentioned sources of funding;NA;NA;Pharmaceutical Industry;TRUE;NA;NA
10.1111/bjd.16140;29171861;general_information;NA;NA;Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article;NA;NA;Yes;TRUE;NA;NA
10.1111/bjd.16140;29171861;general_information;NA;NA;Mention of a systematic review to find the studies to compare treatments of interest;NA;NA;Yes;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Patient-level data used;NA;NA;Yes;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Clinical Trial;NA;NA;Yes;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;NCT (only for clinical trial registered on clinicaltrials.gov);NA;NA;NCT01474512;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Country where the clinical trial/observational study was conducted (international if more than one);NA;NA;international;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Phase of the clinical trial (clinical trial only);NA;NA;3;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Number of treatment arms (clinical trial only);NA;NA;2 or more;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;2;Patient-level data used;NA;NA;Yes;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;2;Clinical Trial;NA;NA;Yes;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;2;NCT (only for clinical trial registered on clinicaltrials.gov);NA;NA;NCT01597245;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;2;Country where the clinical trial/observational study was conducted (international if more than one);NA;NA;international;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;2;Phase of the clinical trial (clinical trial only);NA;NA;3;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;2;Number of treatment arms (clinical trial only);NA;NA;2 or more;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;3;Patient-level data used;NA;NA;Yes;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;3;Clinical Trial;NA;NA;Yes;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;3;NCT (only for clinical trial registered on clinicaltrials.gov);NA;NA;NCT01646177;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;3;Country where the clinical trial/observational study was conducted (international if more than one);NA;international;international;FALSE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;3;Phase of the clinical trial (clinical trial only);NA;NA;3;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;3;Number of treatment arms (clinical trial only);NA;NA;2 or more;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;4;Patient-level data used;NA;NA;Yes;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;4;Clinical Trial;NA;NA;Yes;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;4;NCT (only for clinical trial registered on clinicaltrials.gov);NA;NA;NCT02561806;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;4;Country where the clinical trial/observational study was conducted (international if more than one);NA;NA;international;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;4;Phase of the clinical trial (clinical trial only);NA;NA;3;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;4;Number of treatment arms (clinical trial only);NA;NA;2 or more;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;5;Patient-level data used;NA;NA;No;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;5;Clinical Trial;NA;NA;Yes;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;5;NCT (only for clinical trial registered on clinicaltrials.gov);NA;NA;NCT01358578;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;5;Country where the clinical trial/observational study was conducted (international if more than one);NA;NA;international;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;5;Phase of the clinical trial (clinical trial only);NA;NA;3;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;5;Number of treatment arms (clinical trial only);NA;NA;2 or more;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Patient-level data used;NA;NA;No;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Clinical Trial;NA;NA;Yes;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;NCT (only for clinical trial registered on clinicaltrials.gov);NA;NA;NCT01365455;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Country where the clinical trial/observational study was conducted (international if more than one);NA;NA;international;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Phase of the clinical trial (clinical trial only);NA;NA;3;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Number of treatment arms (clinical trial only);NA;NA;2 or more;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Patient-level data used;NA;NA;No;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Clinical Trial;NA;NA;Yes;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;NCT (only for clinical trial registered on clinicaltrials.gov);NA;NA;NCT01555125;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Country where the clinical trial/observational study was conducted (international if more than one);NA;NA;international;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Phase of the clinical trial (clinical trial only);NA;NA;3;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Number of treatment arms (clinical trial only);NA;NA;2 or more;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Patient-level data used;NA;NA;No;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Clinical Trial;NA;NA;Yes;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;NCT (only for clinical trial registered on clinicaltrials.gov);NA;NA;NCT01636687;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Country where the clinical trial/observational study was conducted (international if more than one);NA;NA;international;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Phase of the clinical trial (clinical trial only);NA;NA;3;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;xx;Number of treatment arms (clinical trial only);NA;NA;2 or more;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;9;Patient-level data used;NA;NA;No;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;9;Clinical Trial;NA;NA;Yes;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;9;NCT (only for clinical trial registered on clinicaltrials.gov);NA;NA;NCT02074982;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;9;Country where the clinical trial/observational study was conducted (international if more than one);NA;NA;international;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;9;Phase of the clinical trial (clinical trial only);NA;NA;3;TRUE;NA;NA
10.1111/bjd.16140;29171861;study_information;NA;9;Number of treatment arms (clinical trial only);NA;NA;2 or more;TRUE;NA;NA
10.1111/bjd.16140;29171861;methodology;xx;NA;Treatment name 1;NA;NA;ixekizumab;TRUE;"SG total placeboanchored
Sample sizes reported for both treatment and anchored arm together";"weights calculation for the IPD is based on mean values of covariates for total population (SG total).
Commun comparator = Placebo
covariates : weight = other"
10.1111/bjd.16140;29171861;methodology;xx;NA;Study 'number(s)' for treatment 1;NA;NA;"1;2;3";TRUE;NA;NA
