primary_outcome_name	outcome_short_name	primary_outcome_type	contrast	unadjusted_ci_cutoff	adjusted_ci_cutoff		direction_benefit
change from baseline in proptosis in mm	proptosis change	Continuous (count, mean, ...)	Means difference	0	0		inferior
3 point mace (cardiovascular death, non-fatal myocardial infraction, non-fatal stroke)	3-point MACE	Time-to-event	HR	NA	1		inferior
change in the adhd-rs-iv total score from baseline to end-point	ADHD-RS-IV score	Continuous (count, mean, ...)	Means difference	NA	0		inferior
overall survival	Overall Survival	Time-to-event	HR	1	1		inferior
overall survival	Overall Survival	Time-to-event	HR	NA	1		inferior
no evidence of disease activity (neda)	No evidence of disease activity	Binary (eg rates)	RR	1	1		superior
progression-free survival	Progression-free Survival	Time-to-event	HR	1	1		inferior
overall response rate	Overall Response Rate	Binary (eg rates)	NA	NA	NA		superior
complete response rate	Complete Response Rate	Binary (eg rates)	OR	1	1		superior
complete remission rate	Complete Remission Rate	Binary (eg rates)	OR	1	1		superior
metastasis-free survival	Metastasis-free Survival	Time-to-event	HR	NA	1		inferior
fatigue occurrence	Fatigue occurence	Binary (eg rates)	OR	NA	1		inferior
arrhythmia recurrence	Arrhythmia recurrence 	Time-to-event	HR	1	1		inferior
restricted mean survival time	Restricted Mean Survival Time	Time-to-event	Means difference	0	0		superior
number of etdrs (early treatment diabetic retinopathy study) letters gained vs baseline after 2 years	ETDRS letters gained	Continuous (count, mean, ...)	Median difference	NA	0		superior
overall survival	Overall Survival	Time-to-event	Median difference	NA	0		superior
mean annualized bleeding rates	Mean Annualized Bleeding Rate	Continuous (count, mean, ...)	Means difference	0	0		inferior
mean annualised bleeding rate	Mean Annualized Bleeding Rate	Continuous (count, mean, ...)	Means difference	0	0		inferior
objective response rate (orr)	Objective Response Rate	Binary (eg rates)	OR	1	1		superior
annualized bleeding rate (abr),	Mean Annualized Bleeding Rate	Binary (eg rates)	RR	1	1		inferior
annualized bleeding rate (abr)	Mean Annualized Bleeding Rate	Binary (eg rates)	RR	1	1		inferior
Global quality of life (european organisation for research and treatment of cancerquality of life questionnaire core 30 items) change from baseline	Global Quality of Life	Continuous (count, mean, ...)	Means difference	0	0		superior
time to deterioration in quality of life	Time-to-deterioration in quality of life	Time-to-event	HR	NA	1		inferior
investigator’s static global assessment improvement score of 0–1	ISGA improvement	Binary (eg rates)	OR	1	1		superior
progression-free survival	Progression-free Survival	Time-to-event	HR	NA	1		inferior
the mean change from baseline in the adhd-rs-iv total score at the final on-treatment assessment prior to down-titration	ADHD-RS-IV score	Continuous (count, mean, ...)	Means difference	0	0		inferior
change from baseline for the hamilton rating scale for depression	Hamilton rating scale change	Continuous (count, mean, ...)	Means difference	0	0		superior
annualized relapse rate	Annualized Relapse Rate	Continuous (count, mean, ...)	RR	NA	1		inferior
response rates for acr 20 (american college of rheumatology) at week 24	ACR Response Rate	Binary (eg rates)	Rate difference	NA	0		superior
acr 20 response rate at week 12	ACR Response Rate	Binary (eg rates)	RR	NA	1		superior
acr 20 response rate at week 16	ACR Response Rate	Binary (eg rates)	RR	NA	1		superior
