primary_outcome_name	primary_outcome_type	contrast	unadjusted_ci_cutoff	adjusted_ci_cutoff
change from baseline in proptosis in mm	Continuous (count, mean, ...)	Means difference	0	0
3 point mace (cardiovascular death, non-fatal myocardial infraction, non-fatal stroke)	Time-to-event	HR	NA	1
change in the adhd-rs-iv total score from baseline to end-point	Continuous (count, mean, ...)	Means difference	NA	0
overall survival	Time-to-event	HR	1	1
overall survival	Time-to-event	HR	NA	1
no evidence of disease activity (neda)	Binary (eg rates)	RR	1	1
progression-free survival	Time-to-event	HR	1	1
overall response rate	Binary (eg rates)	NA	NA	NA
complete response rate	Binary (eg rates)	OR	1	1
complete remission rate	Binary (eg rates)	OR	1	1
metastasis-free survival	Time-to-event	HR	NA	1
fatigue occurrence	Binary (eg rates)	OR	NA	1
arrhythmia recurrence	Time-to-event	HR	1	1
restricted mean survival time	Time-to-event	Means difference	0	0
number of etdrs (early treatment diabetic retinopathy study) letters gained vs baseline after 2 years	Continuous (count, mean, ...)	Median difference	NA	0
overall survival	Time-to-event	Median difference	NA	0
mean annualized bleeding rates	Continuous (count, mean, ...)	Means difference	0	0
mean annualised bleeding rate	Continuous (count, mean, ...)	Means difference	0	0
objective response rate (orr)	Binary (eg rates)	OR	1	1
annualized bleeding rate (abr),	Binary (eg rates)	RR	1	1
annualized bleeding rate (abr)	Binary (eg rates)	RR	1	1
grade >= 3 treatment emergent adverse event	Binary (eg rates)	RR	1	1
time to deterioration in quality of life	Time-to-event	HR	NA	1
investigator’s static global assessment improvement score of 0–1	Binary (eg rates)	OR	1	1
progression-free survival	Time-to-event	HR	NA	1
the mean change from baseline in the adhd-rs-iv total score at the final on-treatment assessment prior to down-titration	Continuous (count, mean, ...)	Means difference	0	0
change from baseline for the hamilton rating scale for depression	Continuous (count, mean, ...)	Means difference	0	0
annualized relapse rate	Continuous (count, mean, ...)	RR	NA	1
response rates for acr 20 (american college of rheumatology) at week 24	Binary (eg rates)	Rate difference	NA	0
acr 20 response rate at week 12	Binary (eg rates)	RR	NA	1
acr 20 response rate at week 16	Binary (eg rates)	RR	NA	1
proportions of patients achieving 70 improvement in the acr criteria (acr70) at month 3	Binary (eg rates)	Means difference	0	0
