doi;PMID;section;ITC num;Ind studies num;questions;reviewer 1;reviewer 2;decision;identical;reviewer;Notes reviewer 1;Notes reviewer 2
10.1186/s40164-022-00268-z;35337365;general_information;;;Medical Condition of Interest Name;relapsed or refractory aggressive large b-cell lymphomas;relapsed or refractory diffuse large b-cell lymphoma;XXXX;FALSE;BZ;NA;NA
10.1186/s40164-022-00268-z;35337365;general_information;;;Countries of first author affiliations;;;france;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;general_information;;;Countries of last author affiliations;;;canada;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;general_information;;;Positions of study investigators (for any authors of the article, any that applies);Academic, Private Data Analysis Company, Pharmaceutical Industry;Academic, Pharmaceutical Industry, Private Data Analysis Company;XXXX;FALSE;BZ;;
10.1186/s40164-022-00268-z;35337365;general_information;;;At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company;;;Yes;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;general_information;;;Mentioned sources of funding;;;Pharmaceutical Industry;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;general_information;;;Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article;;;Yes;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;general_information;;;Mention of a systematic review to find the studies to compare treatments of interest;;;No;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;study_information;;1;Patient-level data used;;;Yes;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;study_information;;1;Clinical Trial;;;Yes;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;study_information;;1;NCT (only for clinical trial registered on clinicaltrials.gov);;;NCT02631044;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;study_information;;1;Phase of the clinical trial (clinical trial only);;;1;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;study_information;;1;Number of treatment arms (clinical trial only);;;1;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;study_information;;1;Country where the clinical trial/observational study was conducted (international if more than one);;us;XXXX;FALSE;BZ;;
10.1186/s40164-022-00268-z;35337365;study_information;;2;Patient-level data used;;;No;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;study_information;;2;Clinical Trial;;;Yes;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;study_information;;2;NCT (only for clinical trial registered on clinicaltrials.gov);;;NCT02445248;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;study_information;;2;Phase of the clinical trial (clinical trial only);;;2;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;study_information;;2;Number of treatment arms (clinical trial only);;;1;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;study_information;;2;Country where the clinical trial/observational study was conducted (international if more than one);;international;XXXX;FALSE;BZ;;
10.1186/s40164-022-00268-z;35337365;methodology;1;;Treatment name 1;liso-cel;lisocabtagene maraleucel;lisocabtagene maraleucel;FALSE;BZ;"They say that ""Balance was assessed using the absolute value of the standardized mean difference"", whereas covariate balance may not be checked in that context? (see Phillippo 2016). 
Talk about the distinction prognostic factors and treatment effect modifiers, but doesn't actually give any indication for the status of any specific included factor
**Uncommon MAIC methodology: first step of direct matching, then weighting**";Renal function = comorbidity
10.1186/s40164-022-00268-z;35337365;methodology;1;;Study 'number(s)' for treatment 1;;;1;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;methodology;1;;Treatment name 2;;;tisagenlecleucel;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;methodology;1;;Study 'number(s)' for treatment 2;;;2;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;methodology;1;;Type of population-adjusted indirect comparisons performed;;;MAIC;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;methodology;1;;Anchored comparison?;;;No;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;methodology;1;;Form of the indirect comparison;;;Simple (ie treatments effects extracted from two studies);TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;methodology;1;;Definition of a single primary outcome for the indirect comparison;;;No primary outcome defined, or multiple primary outcomes without any clear distinction between them;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;methodology;1;;Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined);objective response rate;objective response rates (orr);objective response rate;FALSE;BZ;;
10.1186/s40164-022-00268-z;35337365;methodology;1;;Primary outcome: variable type;;;Binary (eg rates);TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;methodology;1;;Justification for selecting variables to be included in the adjustment model (in the main text);;;Status of prognostic factor/treatment effect modified assessed in the IPD dataset, A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose);TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;methodology;1;;Inclusion of prognostic factors in the adjustment/matching model;No discussion (in the main text) of the status of prognostic factors of the variables;Yes;Yes;FALSE;BZ;;
10.1186/s40164-022-00268-z;35337365;methodology;1;;Inclusion of treatment-effect modifiers in the adjustment/matching model;No discussion (in the main text) of the status of treatment-effect modifiers of the variables;Yes;Yes;FALSE;BZ;;
10.1186/s40164-022-00268-z;35337365;methodology;1;;Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc);;;No;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;methodology;1;;Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale);;;No;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;results;1;;Sample size of the population of interest in the non IPD treatment arm;;;111;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;results;1;;Initial sample size of the population of interest in the IPD treatment arm;;;256;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;results;1;;"Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC";180;164;164;FALSE;BZ;;
10.1186/s40164-022-00268-z;35337365;results;1;;Reporting of a weights' distribution evaluation (MAIC);Yes, mentions that the weights distribution has been studied, but weights distribution not reported;Not mentioned;Yes, mentions that the weights distribution has been studied, but weights distribution not reported;FALSE;BZ;;
10.1186/s40164-022-00268-z;35337365;results;1;;Reporting of the list of the covariates adjusted for/matched on;;;Yes;TRUE;BZ;;
10.1186/s40164-022-00268-z;35337365;results;1;;Number of covariates adjusted for/matched on;;;6;TRUE;BZ;;
