"doi";"PMID";"section";"ITC num";"Ind studies num";"questions";"answer"
"10.1001/jamaophthalmol.2021.6284";"35175308";"general_information";"";"";"Medical Condition of Interest Name";"thyroid eye disease"
"10.1001/jamaophthalmol.2021.6284";"35175308";"general_information";"";"";"Countries of first author affiliations";"usa"
"10.1001/jamaophthalmol.2021.6284";"35175308";"general_information";"";"";"Countries of last author affiliations";"canada"
"10.1001/jamaophthalmol.2021.6284";"35175308";"general_information";"";"";"Positions of study investigators (for any authors of the article, any that applies)";"Academic, Private Data Analysis Company"
"10.1001/jamaophthalmol.2021.6284";"35175308";"general_information";"";"";"At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company";"Yes"
"10.1001/jamaophthalmol.2021.6284";"35175308";"general_information";"";"";"Mentioned sources of funding";"Pharmaceutical Industry"
"10.1001/jamaophthalmol.2021.6284";"35175308";"general_information";"";"";"Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article";"Yes"
"10.1001/jamaophthalmol.2021.6284";"35175308";"general_information";"";"";"Mention of a systematic review to find the studies to compare treatments of interest";"Yes"
"10.1001/jamaophthalmol.2021.6284";"35175308";"study_information";"";"1";"Patient-level data used";"Yes"
"10.1001/jamaophthalmol.2021.6284";"35175308";"study_information";"";"1";"Clinical Trial";"Yes"
"10.1001/jamaophthalmol.2021.6284";"35175308";"study_information";"";"1";"NCT (only for clinical trial registered on clinicaltrials.gov)";"NCT01868997"
"10.1001/jamaophthalmol.2021.6284";"35175308";"study_information";"";"1";"Country where the clinical trial/observational study was conducted (international if more than one)";"international"
"10.1001/jamaophthalmol.2021.6284";"35175308";"study_information";"";"1";"Phase of the clinical trial (clinical trial only)";"2"
"10.1001/jamaophthalmol.2021.6284";"35175308";"study_information";"";"1";"Number of treatment arms (clinical trial only)";"2 or more"
"10.1001/jamaophthalmol.2021.6284";"35175308";"study_information";"";"2";"Patient-level data used";"Yes"
"10.1001/jamaophthalmol.2021.6284";"35175308";"study_information";"";"2";"Clinical Trial";"Yes"
"10.1001/jamaophthalmol.2021.6284";"35175308";"study_information";"";"2";"NCT (only for clinical trial registered on clinicaltrials.gov)";"NCT03298867"
"10.1001/jamaophthalmol.2021.6284";"35175308";"study_information";"";"2";"Country where the clinical trial/observational study was conducted (international if more than one)";"international"
"10.1001/jamaophthalmol.2021.6284";"35175308";"study_information";"";"2";"Phase of the clinical trial (clinical trial only)";"3"
