doi	section	ITC num	Ind studies num	questions	decision	PMID
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Medical Condition of Interest Name	thyroid eye disease	NA
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Countries of first author affiliations	usa	NA
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Countries of last author affiliations	canada	NA
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Positions of study investigators (for any authors of the article, any that applies)	Academic, Private Data Analysis Company	NA
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company	Yes	NA
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Mentioned sources of funding	Pharmaceutical Industry	NA
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article	Yes	NA
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Mention of a systematic review to find the studies to compare treatments of interest	Yes	NA
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Medical Condition of Interest Name	XXXX	NA
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Countries of first author affiliations	usa	NA
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Countries of last author affiliations	XXXX	NA
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Positions of study investigators (for any authors of the article, any that applies)	Academic, Private Data Analysis Company	NA
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company	Yes	NA
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Mentioned sources of funding	Pharmaceutical Industry	NA
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article	Yes	NA
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Mention of a systematic review to find the studies to compare treatments of interest	Yes	NA
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Treatment name 1	teprotumumab	NA
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Study 'number(s)' for treatment 1	1;2	NA
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Treatment name 2	intravenous methylprednisolone	NA
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Study 'number(s)' for treatment 2	3	NA
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Type of population-adjusted indirect comparisons performed	MAIC	NA
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Anchored comparison?	No	NA
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Form of the indirect comparison	Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)	NA
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Definition of a single primary outcome for the indirect comparison	No primary outcome defined, or multiple primary outcomes without any clear distinction between them	NA
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)	change from baseline in proptosis in mm	NA
