"row_names";"PMID";"doi";"Title";"Create Date";"included";"notes";"n_questions";"same";"differences";"to_review"
"1";"21524239";"10.1185/03007995.2011.576238";"Comparative efficacy of nilotinib and dasatinib in newly diagnosed chronic myeloid leukemia: a matching-adjusted indirect comparison of randomized trials";"2011-04-29";TRUE;NA;"47";"40";"7";"6"
"2";"21585706";"10.1111/j.1743-7563.2011.01400.x";"Comparative effectiveness of bevacizumab plus cisplatin-based chemotherapy versus pemetrexed plus cisplatin treatment in East Asian non-squamous non-small cell lung cancer patients applying real-life outcomes";"2011-05-19";TRUE;NA;"45";"34";"11";"9"
"3";"21819162";"10.2165/11592490-000000000-00000";"Comparative efficacy of vildagliptin and sitagliptin in Japanese patients with type 2 diabetes mellitus: a matching-adjusted indirect comparison of randomized trials";"2011-08-09";TRUE;NA;"125";"109";"16";"14"
"4";"23113551";"10.1007/bf03261873";"Cost effectiveness of guanfacine extended-release versus atomoxetine for the treatment of attention-deficit/hyperactivity disorder: application of a matching-adjusted indirect comparison";"2012-11-02";TRUE;NA;"104";"85";"19";"16"
"5";"23339434";"10.3111/13696998.2013.768530";"Matching-adjusted indirect comparison of adalimumab vs etanercept and infliximab for the treatment of psoriatic arthritis";"2013-01-24";TRUE;NA;"81";"66";"15";"12"
"6";"23975660";"10.1007/s40263-013-0102-x";"Comparative efficacy of guanfacine extended release versus atomoxetine for the treatment of attention-deficit/hyperactivity disorder in children and adolescents: applying matching-adjusted indirect comparison methodology";"2013-08-27";TRUE;NA;"54";"41";"13";"9"
"7";"24314093";"10.1186/2162-3619-2-32";"Everolimus and sunitinib for advanced pancreatic neuroendocrine tumors: a matching-adjusted indirect comparison";"2013-12-10";TRUE;NA;"103";"71";"32";"31"
"8";"25356603";"10.1185/03007995.2014.977992";"One-year and long-term molecular response to nilotinib and dasatinib for newly diagnosed chronic myeloid leukemia: a matching-adjusted indirect comparison";"2014-10-31";TRUE;NA;"47";"42";"5";"4"
"9";"25414048";"10.1007/s12325-014-0167-z";"No evidence of disease activity: indirect comparisons of oral therapies for the treatment of relapsing-remitting multiple sclerosis";"2014-11-22";TRUE;"Discarded during articles selection process, but included after seeing a reference to it in the literature";"128";"117";"11";"10"
"10";"26159375";"10.2217/cer.15.33";"Comparative efficacy and safety of daclatasvir/asunaprevir versus IFN-based regimens in genotype 1b hepatitis C virus infection";"2015-07-11";TRUE;NA;"295";"258";"37";"29"
"11";"26390233";"10.2217/cer.15.49";"Daclatasvir + sofosbuvir versus standard of care for hepatitis C genotype 3: a matching-adjusted indirect comparison";"2015-09-22";TRUE;NA;"85";"63";"22";"18"
"12";"26455472";"10.1185/03007995.2015.1106934";"Indirect comparison of the antiviral efficacy of peginterferon alpha 2a plus ribavirin used with or without simeprevir in genotype 4 hepatitis C virus infection, where common comparator study arms are lacking: a special application of the matching adjusted indirect comparison methodology";"2015-10-13";TRUE;NA;"167";"126";"41";"37"
"13";"26602976";"10.1016/j.clinthera.2015.09.013";"An Indirect Comparison of Everolimus Versus Axitinib in US Patients With Advanced Renal Cell Carcinoma in Whom Prior Sunitinib Therapy Failed";"2015-11-26";TRUE;NA;"43";"36";"7";"5"
"14";"26793987";"10.2217/cer.15.69";"Daclatasvir + asunaprevir versus sofosbuvir/ledipasvir for hepatitis C genotype 1 in Japanese patients: an indirect comparison";"2016-01-23";TRUE;NA;"53";"38";"15";"9"
"15";"26839044";"10.1016/j.clinthera.2015.12.017";"Daclatasvir and Sofosbuvir Versus Sofosbuvir and Ribavirin in Patients with Chronic Hepatitis C Coinfected with HIV: A Matching-adjusted Indirect Comparison";"2016-02-04";TRUE;NA;"53";"45";"8";"5"
"16";"27288979";"10.1016/j.jtho.2016.05.029";"Comparative Efficacy of Ceritinib and Crizotinib as Initial ALK-Targeted Therapies in Previously Treated Advanced NSCLC: An Adjusted Comparison with External Controls";"2016-06-12";TRUE;NA;"68";"59";"9";"8"
"17";"27445511";"10.2147/jbm.s104074";"Matching-adjusted indirect comparisons of efficacy of BAY 81-8973 vs two recombinant factor VIII for the prophylactic treatment of severe hemophilia A";"2016-07-23";TRUE;NA;"117";"96";"21";"17"
"18";"27550239";"10.1007/s40258-016-0271-0";"Panobinostat Plus Bortezomib Versus Lenalidomide in Patients with Relapsed and/or Refractory Multiple Myeloma: A Matching-Adjusted Indirect Treatment Comparison of Survival Outcomes using Patient-level Data";"2016-08-24";TRUE;NA;"52";"50";"2";"2"
"19";"27733070";"10.1080/03007995.2016.1248380";"Comparative effectiveness using a matching-adjusted indirect comparison between delayed-release dimethyl fumarate and fingolimod for the treatment of multiple sclerosis";"2016-10-14";TRUE;NA;"63";"57";"6";"5"
"20";"28265459";"10.1186/s40734-017-0051-5";"Indirect tolerability comparison of Deutetrabenazine and Tetrabenazine for Huntington disease";"2017-03-08";TRUE;NA;"50";"41";"9";"8"
"21";"28350241";"10.2217/cer-2016-0085";"Comparative effectiveness of delayed-release dimethyl fumarate versus glatiramer acetate in multiple sclerosis patients: results of a matching-adjusted indirect comparison";"2017-03-29";TRUE;NA;"113";"88";"25";"22"
"22";"28573505";"10.1007/s12325-017-0564-1";"Comparative Efficacy of Ibrutinib Versus ObinutuzumabÂ +Â Chlorambucil in First-Line Treatment of Chronic Lymphocytic Leukemia: A Matching-Adjusted Indirect Comparison";"2017-06-03";TRUE;NA;"48";"36";"12";"12"
"23";"28607774";"10.1155/2017/6121760";"A Matching-Adjusted Indirect Comparison of Sonidegib and Vismodegib in Advanced Basal Cell Carcinoma";"2017-06-14";TRUE;NA;"42";"36";"6";"4"
"24";"28762213";"10.1007/s40744-017-0070-6";"Comparative Effectiveness of Adalimumab versus Secukinumab for the Treatment of Psoriatic Arthritis: A Matching-Adjusted Indirect Comparison";"2017-08-02";TRUE;NA;"84";"77";"7";"6"
"25";"28967482";"10.1016/j.clinthera.2017.08.010";"Cost-effectiveness of Pomalidomide, Carfilzomib, and Daratumumab for the Treatment of Patients with Heavily Pretreated Relapsed-refractory Multiple Myeloma in the United States";"2017-10-03";TRUE;NA;"72";"68";"4";"3"
"26";"29171861";"10.1111/bjd.16140";"Matching-adjusted indirect comparison of efficacy in patients with moderate-to-severe plaque psoriasis treated with ixekizumab vs. secukinumab";"2017-11-25";TRUE;NA;"218";"177";"41";"39"
"27";"29192016";"10.1634/theoncologist.2017-0103";"Comparative Efficacy of Daratumumab Monotherapy and Pomalidomide Plus Low-Dose Dexamethasone in the Treatment of Multiple Myeloma: A Matching Adjusted Indirect Comparison";"2017-12-02";TRUE;NA;"88";"78";"10";"8"
"28";"29458286";"10.1080/13696998.2018.1443111";"Cost-effectiveness of ceritinib in previously untreated anaplastic lymphoma kinase-positive metastatic non-small cell lung cancer in the United States";"2018-02-21";TRUE;NA;"41";"35";"6";"5"
"29";"29570121";"10.1097/brs.0000000000002647";"Progression of Adjacent-level Degeneration After Lumbar Total Disc Replacement: Results of a Post-hoc Analysis of Patients With Available Radiographs From a Prospective Study With 5-year Follow-up";"2018-03-24";TRUE;NA;"46";"38";"8";"6"
"30";"29605841";"10.1007/s40744-018-0106-6";"Secukinumab Versus Adalimumab for Psoriatic Arthritis: Comparative Effectiveness up to 48 Weeks Using a Matching-Adjusted Indirect Comparison";"2018-04-02";TRUE;NA;"130";"105";"25";"22"
"31";"29764245";"10.1080/17474086.2018.1475226";"Pembrolizumab versus the standard of care for relapsed and refractory classical Hodgkin's lymphoma progressing after brentuximab vedotin: an indirect treatment comparison";"2018-05-17";TRUE;NA;"46";"38";"8";"7"
"32";"29861642";"10.2147/cmar.s163478";"Matching-adjusted indirect treatment comparison of ribociclib and palbociclib in HR+, HER2- advanced breast cancer";"2018-06-05";TRUE;NA;"51";"41";"10";"8"
"33";"29949047";"10.1007/s12325-018-0734-9";"Comparative Efficacy of Treatments for Previously Treated Advanced or Metastatic Non-Small-Cell Lung Cancer: A Network Meta-Analysis";"2018-06-28";TRUE;NA;"46";"36";"10";"8"
"34";"30052894";"10.1093/europace/euy160";"Real-world vs. randomized trial outcomes in similar populations of rivaroxaban-treated patients with non-valvular atrial fibrillation in ROCKET AF and XANTUS";"2018-07-28";TRUE;NA;"44";"42";"2";"2"
"35";"30086654";"10.1080/03007995.2018.1510225";"Benefits and risks of ponatinib versus bosutinib following treatment failure of two prior tyrosine kinase inhibitors in patients with chronic phase chronic myeloid leukemia: a matching-adjusted indirect comparison";"2018-08-09";TRUE;NA;"43";"40";"3";"2"
