doi	section	n_itc	study_number	questions	answer
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Medical Condition of Interest Name	thyroid eye disease
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Countries of first author affiliations	usa
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Countries of last author affiliations	canada
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Positions of study investigators (for any authors of the article, any that applies)	Academic, Private Data Analysis Company
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company	Yes
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Mentioned sources of funding	Pharmaceutical Industry
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article	Yes
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	Mention of a systematic review to find the studies to compare treatments of interest	Yes
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Treatment name 1	teprotumumab
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Study 'number(s)' for treatment 1	1;2
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Treatment name 2	intravenous methylprednisolone
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Study 'number(s)' for treatment 2	3
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Type of population-adjusted indirect comparisons performed	MAIC
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Anchored comparison?	No
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Form of the indirect comparison	Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Definition of a single primary outcome for the indirect comparison	No primary outcome defined, or multiple primary outcomes without any clear distinction between them
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined)	change from baseline in proptosis in mm
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Primary outcome: variable type	Continuous (count, mean, ...)
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Justification for selecting variables to be included in the adjustment model (in the main text)	A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Inclusion of prognostic factors in the adjustment/matching model	Yes
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Inclusion of treatment-effect modifiers in the adjustment/matching model	Yes
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)	No
