INCLUSION,FULL TEXT,RAISON,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
OUI,NON,Mention d'une MAIC dans le résumé,34991104,"A Cost-effectiveness Analysis Comparing Pembrolizumab-Axitinib, Nivolumab-Ipilimumab, and Sunitinib for Treatment of Advanced Renal Cell Carcinoma","Chan A, Dang C, Wisniewski J, Weng X, Hynson E, Zhong L, Wilson L.",Am J Clin Oncol. 2022 Feb 1;45(2):66-73. doi: 10.1097/COC.0000000000000884.,Chan A,Am J Clin Oncol,2022,06/01/2022,NA,NA,10.1097/COC.0000000000000884
OUI,NON,Mention d'une MAIC dans le résumé,34080140,The Cost-Effectiveness of Lorlatinib Versus Chemotherapy as a Second- or Third-Line Treatment in Anaplastic Lymphoma Kinase (ALK)-Positive Non-small-cell Lung Cancer in Sweden,"Nilsson FOL, Asanin ST, Masters ET, Iadeluca L, Almond C, Cooper M, Smith S.",Pharmacoeconomics. 2021 Aug;39(8):941-952. doi: 10.1007/s40273-021-01015-8. Epub 2021 Jun 3.,Nilsson FOL,Pharmacoeconomics,2021,03/06/2021,PMC8298221,NA,10.1007/s40273-021-01015-8
OUI,OUI,Mention d'une comparaison indirecte dans le résumé / utilisation MAIC + STC dans le full text,33052055,Comparative efficacy of cemiplimab versus other systemic treatments for advanced cutaneous squamous cell carcinoma,"Keeping S, Xu Y, Chen CI, Cope S, Mojebi A, Kuznik A, Konidaris G, Ayers D, Sasane M, Allen R, Huynh TM, Popoff E, Freeman M, Andria ML, Fury MG, Singh K, Stockfleth E, Challapalli A, Schmults CD.",Future Oncol. 2021 Feb;17(5):611-627. doi: 10.2217/fon-2020-0823. Epub 2020 Oct 14.,Keeping S,Future Oncol,2021,14/10/2020,NA,NA,10.2217/fon-2020-0823
NON,OUI,Bucher,32853126,Monoclonal antibodies against calcitonin gene-related peptide in chronic migraine: an adjusted indirect treatment comparison,"BriceÃ±o-Casado MDP, Gil-Sierra MD, FÃ©nix-Caballero S.",Farm Hosp. 2020 Aug 21;44(5):212-217. doi: 10.7399/fh.11419.,BriceÃ±o-Casado MDP,Farm Hosp,2020,28/08/2020,NA,NA,10.7399/fh.11419
OUI,OUI,Mention d'une STC dans le résumé et le full text,32826180,Cost-effectiveness of Pembrolizumab versus Carboplatin-based Chemotherapy as First-line Treatment of PD-L1-positive Locally Advanced or Metastatic Urothelial Carcinoma Ineligible for Cisplatin-based Therapy in the United States,"Hale O, Patterson K, Lai Y, Meng Y, Li H, Godwin JL, Homet Moreno B, Mamtani R.",Clin Genitourin Cancer. 2021 Feb;19(1):e17-e30. doi: 10.1016/j.clgc.2020.07.006. Epub 2020 Jul 16.,Hale O,Clin Genitourin Cancer,2021,23/08/2020,NA,NA,10.1016/j.clgc.2020.07.006
OUI,NON,Mention d'une MAIC dans le résumé,32550696,Rosacea Treatment Satisfaction: Matching Adjusted Indirect Treatment Comparison Analysis of Metronidazole Gel or Cream vs Azelaic Acid Foam,"Williamson T, LaRose A, Cameron J, Lott J, Eaddy M, Hopson S, Shih HC, Tennant LT.",J Drugs Dermatol. 2020 Mar 1;19(3):295-304.,Williamson T,J Drugs Dermatol,2020,19/06/2020,NA,NA,NA
NON,OUI,Objectif principal = methodo (illustration avec un case study),32216597,The importance of considering differences in study and patient characteristics before undertaking indirect treatment comparisons: a case study of siponimod for secondary progressive multiple sclerosis,"Samjoo IA, Worthington E, Haltner A, Cameron C, Nicholas R, Dahlke F, Adlard N.",Curr Med Res Opin. 2020 Jul;36(7):1145-1156. doi: 10.1080/03007995.2020.1747998. Epub 2020 Apr 14.,Samjoo IA,Curr Med Res Opin,2020,29/03/2020,NA,NA,10.1080/03007995.2020.1747998
OUI,OUI,Mention d'une STC dans le résumé et le full text,30547369,Pembrolizumab for Locally Advanced or Metastatic Urothelial Cancer Where Cisplatin is Unsuitable: An Evidence Review Group Perspective of a NICE Single Technology Appraisal,"Ren S, Squires H, Hock E, Kaltenthaler E, Rawdin A, Alifrangis C.",Pharmacoeconomics. 2019 Sep;37(9):1073-1080. doi: 10.1007/s40273-018-0750-2.,Ren S,Pharmacoeconomics,2019,15/12/2018,NA,NA,10.1007/s40273-018-0750-2
NON,OUI,Il s'agit d'un erratum,29858770,Correction to: Secukinumab Versus Adalimumab for Psoriatic Arthritis: Comparative Effectiveness up to 48 Weeks Using a Matching-Adjusted Indirect Comparison,"Nash P, McInnes IB, Mease PJ, Thom H, Hunger M, Karabis A, Gandhi K, Mpofu S, Jugl SM.",Rheumatol Ther. 2018 Dec;5(2):595. doi: 10.1007/s40744-018-0117-3.,Nash P,Rheumatol Ther,2018,03/06/2018,PMC6251848,NA,10.1007/s40744-018-0117-3
NON,OUI,"MAIC dans le résumé, mais très douteux dans le full text",29674504,"Efficacy of bendamustine and rituximab as first salvage treatment in chronic lymphocytic leukemia and indirect comparison with ibrutinib: a GIMEMA, ERIC and UK CLL FORUM study","Cuneo A, Follows G, Rigolin GM, Piciocchi A, Tedeschi A, Trentin L, Perez AM, Coscia M, Laurenti L, Musuraca G, Farina L, Delgado AR, Orlandi EM, Galieni P, Mauro FR, Visco C, Amendola A, Billio A, Marasca R, Chiarenza A, Meneghini V, Ilariucci F, Marchetti M, Molica S, Re F, Gaidano G, Gonzalez M, Forconi F, Ciolli S, Cortelezzi A, Montillo M, Smolej L, Schuh A, Eyre TA, Kennedy B, Bowles KM, Vignetti M, de la Serna J, Moreno C, FoÃ  R, Ghia P; GIMEMA, European Research Initiative on CLL (ERIC) and UK CLL forum.",Haematologica. 2018 Jul;103(7):1209-1217. doi: 10.3324/haematol.2018.189837. Epub 2018 Apr 19.,Cuneo A,Haematologica,2018,21/04/2018,PMC6029555,NA,10.3324/haematol.2018.189837
NON,OUI,Objectif principal = methodo,26967930,Review and comparison of methodologies for indirect comparison of clinical trial results: an illustration with ranibizumab and aflibercept,"Regnier SA, Alsop J, Wright J, Nixon R, Staines H, Fajnkuchen F.",Expert Rev Pharmacoecon Outcomes Res. 2016 Dec;16(6):793-801. doi: 10.1586/14737167.2016.1165609. Epub 2016 Mar 25.,Regnier SA,Expert Rev Pharmacoecon Outcomes Res,2016,12/03/2016,NA,NA,10.1586/14737167.2016.1165609
NON,OUI,Bucher (mais avec des rafinements),25414048,No evidence of disease activity: indirect comparisons of oral therapies for the treatment of relapsing-remitting multiple sclerosis,"Nixon R, Bergvall N, Tomic D, Sfikas N, Cutter G, Giovannoni G.",Adv Ther. 2014 Nov;31(11):1134-54. doi: 10.1007/s12325-014-0167-z. Epub 2014 Nov 21.,Nixon R,Adv Ther,2014,22/11/2014,PMC4245493,NA,10.1007/s12325-014-0167-z
NON,NON,Objectif principa = method / ce n'est qu'un abstract sans article complet,27201950,Methodological Assessment of Matching-Adjusted Indirect Comparisons: Case Study Application To Attention Deficit/Hyperactivity Disorder (Adhd),"Shafrin J, Sikirica V, Shrestha A, Henkhaus LE, Erder MH, Chandra A.",Value Health. 2014 Nov;17(7):A579. doi: 10.1016/j.jval.2014.08.1959. Epub 2014 Oct 26.,Shafrin J,Value Health,2014,21/05/2016,NA,NA,10.1016/j.jval.2014.08.1959
NON,OUI,Je comprends qu'il n'y a pas de données individuelles (juste des simus),22881362,"Cost-effectiveness of everolimus vs sunitinib in treating patients with advanced, progressive pancreatic neuroendocrine tumors in the United States","Casciano R, Chulikavit M, Perrin A, Liu Z, Wang X, Garrison LP.",J Med Econ. 2012;15 Suppl 1:55-64. doi: 10.3111/13696998.2012.720319. Epub 2012 Sep 3.,Casciano R,J Med Econ,2012,14/08/2012,NA,NA,10.3111/13696998.2012.720319
