doi	section	ITC num	Ind studies num	questions	decision	first	second	third	car_t_cells
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Treatment name 1	teprotumumab	Selective immunosuppressants	NA	NA	FALSE
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	Treatment name 2	intravenous methylprednisolone	Glucocorticoids	NA	NA	FALSE
10.1002/edm2.259	methodology	1	NA	Treatment name 1	semaglutide 0.5  +  1 mg	Glucagon-like peptide-1 (GLP-1) analogues	NA	NA	FALSE
10.1002/edm2.259	methodology	1	NA	Treatment name 2	dulaglutide 1.5 mg	Glucagon-like peptide-1 (GLP-1) analogues	NA	NA	FALSE
10.1007/s00432-021-03602-w	methodology	1	NA	Treatment name 1	regorafenib	Other protein kinase inhibitors	NA	NA	FALSE
10.1007/s00432-021-03602-w	methodology	1	NA	Treatment name 2	cabozantinib	Other protein kinase inhibitors	NA	NA	FALSE
10.1007/s11523-021-00803-8	methodology	1	NA	Treatment name 1	lenvatinib	Other protein kinase inhibitors	NA	NA	FALSE
10.1007/s11523-021-00803-8	methodology	1	NA	Treatment name 2	atezolizumab + bevacizumab	Monoclonal antibodies	Monoclonal antibodies	NA	FALSE
10.1007/s12325-014-0167-z	methodology	1	NA	Treatment name 1	fingolimod	Selective immunosuppressants	NA	NA	FALSE
10.1007/s12325-014-0167-z	methodology	1	NA	Treatment name 2	dimethyl fumarate	Other immunosuppressants	NA	NA	FALSE
10.1007/s12325-014-0167-z	methodology	2	NA	Treatment name 1	fingolimod	Selective immunosuppressants	NA	NA	FALSE
10.1007/s12325-014-0167-z	methodology	2	NA	Treatment name 2	teriflunomide 7 mg	Selective immunosuppressants	NA	NA	FALSE
10.1007/s12325-014-0167-z	methodology	3	NA	Treatment name 1	fingolimod	Selective immunosuppressants	NA	NA	FALSE
10.1007/s12325-014-0167-z	methodology	3	NA	Treatment name 2	teriflunomide 14 mg	Selective immunosuppressants	NA	NA	FALSE
10.1007/s12325-018-0734-9	methodology	1	NA	Treatment name 1	dabrafenib + trametinib	B-raf serine-threonine kinase (BRAF) inhibitors	Mitogen-activated protein kinase (MEK) inhibitors	NA	FALSE
10.1007/s12325-018-0734-9	methodology	1	NA	Treatment name 2	nivolumab	Monoclonal antibodies	NA	NA	FALSE
10.1007/s12325-019-00991-w	methodology	1	NA	Treatment name 1	inotuzumab ozogamicin	Monoclonal antibodies	NA	NA	FALSE
10.1007/s12325-019-00991-w	methodology	1	NA	Treatment name 2	blinatumomab	Monoclonal antibodies	NA	NA	FALSE
10.1007/s12325-019-00991-w	methodology	2	NA	Treatment name 1	inotuzumab ozogamicin	Monoclonal antibodies	NA	NA	FALSE
10.1007/s12325-019-00991-w	methodology	2	NA	Treatment name 2	blinatumomab	Monoclonal antibodies	NA	NA	FALSE
10.1007/s12325-019-01157-4	methodology	1	NA	Treatment name 1	apalutamide	Anti-androgens	NA	NA	FALSE
10.1007/s12325-019-01157-4	methodology	1	NA	Treatment name 2	enzalutamide	Anti-androgens	NA	NA	FALSE
10.1007/s12325-019-01173-4	methodology	1	NA	Treatment name 1	ratiofrequency catheter ablation with ablation index	procedure	NA	NA	FALSE
10.1007/s12325-019-01173-4	methodology	1	NA	Treatment name 2	ratiofrequency catheter ablation with cryoballoon	procedure	NA	NA	FALSE
10.1007/s12325-020-01298-x	methodology	1	NA	Treatment name 1	intravitreally administered aflibercept (ivt-afl) with 2 weeks adjustment	Antineovascularisation agents	NA	NA	FALSE
10.1007/s12325-020-01298-x	methodology	1	NA	Treatment name 2	intravitreally administered aflibercept (ivt-afl) : one injection every 8 weeks in the first year followed by prorenata regimen in the second year	NA	NA	NA	NA
10.1007/s12325-021-01846-z	methodology	1	NA	Treatment name 1	thermocool smarttouch /thermocool smarttouch sf catheter with ai (stai)	NA	NA	NA	NA
10.1007/s12325-021-01846-z	methodology	1	NA	Treatment name 2	second-generation cryoballoon (cb)	procedure	NA	NA	FALSE
10.1007/s12325-021-01884-7	methodology	1	NA	Treatment name 1	belantamab mafodotin	Monoclonal antibodies	NA	NA	FALSE
10.1007/s12325-021-01884-7	methodology	1	NA	Treatment name 2	selinexor + dexamethasone	Other antineoplastic agents	Glucocorticoids	NA	FALSE
10.1007/s12325-022-02099-0	methodology	1	NA	Treatment name 1	transarterial radioembolization	NA	NA	NA	NA
