ttt_name	simplified	category_1	category-1bis	"category_2 (second level ATC, therapeutic subgroup)"	ATC code		CAR-T cells	others
[177lu]lu-dota-tat	[177lu]lu-dota-tate	Peptide receptor radionucleide therapy		cancer therapy	V10XX04			
[177lu]lu-dota-tate	[177lu]lu-dota-tate	Peptide receptor radionucleide therapy			V10XX04			
/- second stem-cell transplantation (salvage-2)	stem-cell transplantation				NA	procedure		procedure
15-valent pneumococcal conjugate vaccine	pneumococcal vaccine	vaccine			J07AL			
20-valent pneumococcal conjugate vaccine	pneumococcal vaccine	vaccine			J07AL			
abemaciclib	abemaciclib	CDK inhibitor		immunotherapy	L01EF03			
abiraterone acetate	abiraterone acetate	Hormone antagonist		Endocrine therapy	L02BX03			
acalabrutinib	acalabrutinib	BTK Inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01EL02			
acitretin	acitretin	Retinoid		Antipsoriatic	D05BB02			
adalimumab	adalimumab	TNF-α inhibitor monoclonal antibody		Immunosupressants	L04AB04			
adalimumab 150mg	adalimumab	TNF-α inhibitor monoclonal antibody		Immunosupressants	L04AB04			
adt	Androgen deprivation therapy			Endocrine therapy	L02BB			
alectinib	alectinib	ALK inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01ED03			
alemtuzumab	alemtuzumab	Monoclonal antibody anti-CD52		Immunosupressants	L04AA34			
amlodipine	amlodipine	Selective calcium channel blocker		Cardiovascular system	C08CA01			
"amlodipine 10mg,"	amlodipine	Selective calcium channel blocker		Cardiovascular system	C08CA01			
amlodipine 5 mg	amlodipine	Selective calcium channel blocker		Cardiovascular system	C08CA01			
apalutamide	apalutamide	Anti-androgen		Endocrine therapy	L02BB05			
apomorphine sublingual film	apomorphine	Dopamine agonist		Anti-parkinson drug	G04BE07			
apremilast	apremilast	PDE4 inhibitor		Immunosupressants	L04AA32			
ard of care	Standard of care				NA			supportive or standard of care
asunaprevir	asunaprevir	HCV protease inhibitor	Antivirals for treatment of HCV infections	Antiviral	J05AP06			
atezolizumab	atezolizumab	Monoclonal antibody PD-1/PDL-1 inhibitor		Antineoplastic agent	L01XC32			
atomoxetine	atomoxetine	Selective norepinephrine (noradrenaline) reuptake inhibitor		Psychoanaleptic	N06BA09			
avapritinib	avapritinib	Other protein kinase inhibitor	Protein kinase inhibitor	Antineoplastic agent	L01EX18			
axicabtagene ciloleucel	axicabtagene ciloleucel	Anti-CD19 chimeric antigen receptor (CAR) T-cell	chimeric antigen receptor (CAR) T-cell therapy	Antineoplastic agent	L01XX70		TRUE	
axitinib	axitinib	(VEGFR) tyrosine kinase inhibitors	Protein kinase inhibitor	Antineoplastic agent	L01EK01			
azacitidine	azacitidine	Pyrimidine analogues	Antimetabolites	Antineoplastic agent	L01BC07			
baricitinib	baricitinib	JAK 1/2 inhibitor		Immunosupressants	L04AA37			
bax 855	bax 855	Recombinant FVIII (rFVIII) modified with PEG	Recombinant FVIII	Antihemorragics	B02BD02			
bay 81-8973	bay 81-8973	full-length unmodified recombinant FVIII (rFVIII)	Recombinant FVIII	Antihemorragics	B02BD02			
bay 81-8973 (recombinant factor viii)	bay 81-8973	full-length unmodified recombinant FVIII (rFVIII)	Recombinant FVIII	Antihemorragics	B02BD02			
bay 94-9027	bay 94-9027	B-domain-deleted (BDD) Recombinant FVIII (rFVIII) modified with PEG	Recombinant FVIII	Antihemorragics	B02BD02			
belantamab mafodotin	belantamab mafodotin	Anti B-cell maturation antigen (BCMA) antibody (+conjugated with a cytotoxic agent)		Antineoplastic agent	L01XC39			
bendamustine	bendamustine	Nitrogen mustard analogues	Alkylating agent	Antineoplastic agent	L01AA09			
benralizumab	benralizumab	Monoclonal antibody Anti-IL-5Rα	Interleukin inhibitors	Drug for obstructive airway diseases (Antiasthmatic)	R03DX10			
best supportive care	Best supportive care				NA			supportive or standard of care
best supportive care (bsc)	Best supportive care				NA			supportive or standard of care
