ttt_name	first	second	third
teprotumumab	Selective immunosuppressants	NA	NA
intravenous methylprednisolone	Glucocorticoids	NA	NA
semaglutide 0.5  +  1 mg	Glucagon-like peptide-1 (GLP-1) analogues	NA	NA
dulaglutide 1.5 mg	Glucagon-like peptide-1 (GLP-1) analogues	NA	NA
regorafenib	Other protein kinase inhibitors	NA	NA
cabozantinib	Other protein kinase inhibitors	NA	NA
lenvatinib	Other protein kinase inhibitors	NA	NA
atezolizumab + bevacizumab	Monoclonal antibodies	Monoclonal antibodies	NA
fingolimod	Selective immunosuppressants	NA	NA
dimethyl fumarate	Other immunosuppressants	NA	NA
teriflunomide 7 mg	Selective immunosuppressants	NA	NA
teriflunomide 14 mg	Selective immunosuppressants	NA	NA
dabrafenib + trametinib	B-raf serine-threonine kinase (BRAF) inhibitors	Mitogen-activated protein kinase (MEK) inhibitors	NA
nivolumab	Monoclonal antibodies	NA	NA
inotuzumab ozogamicin	Monoclonal antibodies	NA	NA
blinatumomab	Monoclonal antibodies	NA	NA
apalutamide	Anti-androgens	NA	NA
enzalutamide	Anti-androgens	NA	NA
ratiofrequency catheter ablation with ablation index	procedure	NA	NA
ratiofrequency catheter ablation with cryoballoon	procedure	NA	NA
intravitreally administered aflibercept (ivt-afl) with 2 weeks adjustment	Antineovascularisation agents	NA	NA
second-generation cryoballoon (cb)	procedure	NA	NA
belantamab mafodotin	Monoclonal antibodies	NA	NA
selinexor + dexamethasone	Other antineoplastic agents	Glucocorticoids	NA
crisaborole ointment 2%	Agents for dermatitis, excluding corticosteroids	NA	NA
pimecrolimus 1%	Agents for dermatitis, excluding corticosteroids	NA	NA
crisaborole	Agents for dermatitis, excluding corticosteroids	NA	NA
tacrolimus 0.03%	Agents for dermatitis, excluding corticosteroids	NA	NA
ozanimod	Selective immunosuppressants	NA	NA
lorlatinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA
pemetrexed or docetaxel	Folic acid analogues	Taxanes	NA
systemic therapy	supportive or standard of care	NA	NA
axicabtagene ciloleucel	Other antineoplastic agents	NA	NA
tisagenlecleucel	Other antineoplastic agents	NA	NA
everolimus	Mammalian target of rapamycin (mTOR) kinase inhibitors	NA	NA
axitinib	Vascular endothelial growth factor receptor (VEGFR) tyrosine kinase inhibitors	NA	NA
daclatasvir + sofosbuvir	Antivirals for treatment of HCV infections	Antivirals for treatment of HCV infections	NA
sofosbuvir + ribavirin	Antivirals for treatment of HCV infections	Antivirals for treatment of HCV infections	NA
pomalidomide + dexamethasone	Other immunosuppressants	Glucocorticoids	NA
daratumumab	Monoclonal antibodies	NA	NA
carfilzomib	Proteasome inhibitors	NA	NA
nivolumab + ipilimumab	Monoclonal antibodies	Monoclonal antibodies	NA
encorafenib + binimetinib	B-raf serine-threonine kinase (BRAF) inhibitors	Mitogen-activated protein kinase (MEK) inhibitors	NA
vemurafenib + cobimetinib	B-raf serine-threonine kinase (BRAF) inhibitors	Mitogen-activated protein kinase (MEK) inhibitors	NA
pembrolizumab	Monoclonal antibodies	NA	NA
carboplatin + gemcitabine	Platinum compounds	Pyrimidine analogues	NA
gemcitabine	Pyrimidine analogues	NA	NA
magnetic resonance-guided focused ultrasound	procedure	NA	NA
unilateral deep brain stimulation	procedure	NA	NA
unilateral deep brain stimulation (dbs)	procedure	NA	NA
teriflunomide	Selective immunosuppressants	NA	NA
ponatinib	Bcr-abl tyrosine kinase inhibitors	NA	NA
bosutinib	Bcr-abl tyrosine kinase inhibitors	NA	NA
brigatinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA
ceritinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA
alectinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA
cladribine	Purine analogues	NA	NA
alemtuzumab	Selective immunosuppressants	NA	NA
nilotinib	Bcr-abl tyrosine kinase inhibitors	NA	NA
dasatinib	Bcr-abl tyrosine kinase inhibitors	NA	NA
vildagliptin 50 mg twice daily	Dipeptidyl peptidase 4 (DPP-4) inhibitors	NA	NA
sitagliptin 50 mg once daily	Dipeptidyl peptidase 4 (DPP-4) inhibitors	NA	NA
sitagliptin 100 mg once daily	Dipeptidyl peptidase 4 (DPP-4) inhibitors	NA	NA
sunitinib	Other protein kinase inhibitors	NA	NA
placebo	placebo	NA	NA
bay 81-8973 (recombinant factor viii)	Blood coagulation factors	NA	NA
rahf-pfm	Blood coagulation factors	NA	NA
turoctocog alfa	Blood coagulation factors	NA	NA
delayed-release dimethyl fumarate	Other immunosuppressants	NA	NA
glatiramer acetate	Other immunostimulants	NA	NA
sonidegib	Hedgehog pathway inhibitors	NA	NA
vismodegib	Hedgehog pathway inhibitors	NA	NA
pomalidomide + low-dose dexamethasone	Other immunosuppressants	Glucocorticoids	NA
st + ard of care	NA	supportive or standard of care	NA
glasdegib + low-dose cytarabine	Hedgehog pathway inhibitors	Pyrimidine analogues	NA
azacitidine	Pyrimidine analogues	NA	NA
decitabine	Pyrimidine analogues	NA	NA
benralizumab	Other systemic drugs for obstructive airway diseases	NA	NA
mepolizumab	Other systemic drugs for obstructive airway diseases	NA	NA
dupilumab	Agents for dermatitis, excluding corticosteroids	NA	NA
calcipotriene 0.005%/betamethasone dipropionate 0.064% foam	Other antipsoriatics for topical use	NA	NA
baricitinib	Selective immunosuppressants	NA	NA
adalimumab	Tumor necrosis factor alpha (TNF-a) inhibitors	NA	NA
tocilizumab	Interleukin inhibitors	NA	NA
tofacitinib	Selective immunosuppressants	NA	NA
entrectinib	Other protein kinase inhibitors	NA	NA
crizotinib	Anaplastic lymphoma kinase (ALK) inhibitors	NA	NA
pemetrexed + platinum followed by pemetrexed maintenance	Folic acid analogues	Platinum compounds	Folic acid analogues
pemetrexed/docetaxel	Folic acid analogues	Taxanes	NA
patisiran	Other nervous system drugs	NA	NA
inotersen	Other nervous system drugs	NA	NA
darolutamide	Anti-androgens	NA	NA
abiraterone acetate	Other hormone antagonists and related agents	NA	NA
acalabrutinib + obinutuzumab	Bruton's tyrosine kinase (BTK) inhibitors	Monoclonal antibodies	NA
