doi	section	n_itc	study_number	questions	answer	ttt_parsed	others	car_t_cells	atc_code	concept_class_id	concept_name	concept_code_ancestor_ATC 1st	concept_code_ancestor_ATC 2nd	concept_code_ancestor_ATC 3rd	concept_code_ancestor_ATC 4th	concept_name_ancestor_ATC 1st	concept_name_ancestor_ATC 2nd	concept_name_ancestor_ATC 3rd	concept_name_ancestor_ATC 4th
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	treatment_name_ipd	teprotumumab	teprotumumab	NA	FALSE	L04AA53	ATC 5th	teprotumumab; parenteral	L	L04	L04A	L04AA	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Selective immunosuppressants
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	treatment_name_nonipd	intravenous methylprednisolone	intravenous methylprednisolone	NA	FALSE	H02AB04	ATC 5th	methylprednisolone; systemic	H	H02	H02A	H02AB	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS	CORTICOSTEROIDS FOR SYSTEMIC USE	CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN	Glucocorticoids
10.1002/edm2.259	methodology	1	NA	treatment_name_ipd	semaglutide 0.5  +  1 mg	semaglutide 0.5	NA	FALSE	A10BJ06	ATC 5th	semaglutide; parenteral	A	A10	A10B	A10BJ	ALIMENTARY TRACT AND METABOLISM	DRUGS USED IN DIABETES	BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS	Glucagon-like peptide-1 (GLP-1) analogues
10.1002/edm2.259	methodology	1	NA	treatment_name_nonipd	dulaglutide 1.5 mg	dulaglutide 1.5 mg	NA	FALSE	A10BJ05	ATC 5th	dulaglutide; parenteral	A	A10	A10B	A10BJ	ALIMENTARY TRACT AND METABOLISM	DRUGS USED IN DIABETES	BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS	Glucagon-like peptide-1 (GLP-1) analogues
10.1007/bf03261873	methodology	1	NA	treatment_name_ipd	guanfacine extended-release low dose	guanfacine extended-release low dose	NA	FALSE	C02AC02	ATC 5th	guanfacine; oral	C	C02	C02A	C02AC	CARDIOVASCULAR SYSTEM	ANTIHYPERTENSIVES	ANTIADRENERGIC AGENTS, CENTRALLY ACTING	Imidazoline receptor agonists
10.1007/bf03261873	methodology	1	NA	treatment_name_nonipd	atomoxetine	atomoxetine	NA	FALSE	N06BA09	ATC 5th	atomoxetine; oral	N	N06	N06B	N06BA	NERVOUS SYSTEM	PSYCHOANALEPTICS	PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS	Centrally acting sympathomimetics
10.1007/bf03261873	methodology	2	NA	treatment_name_ipd	guanfacine extended-release mid dose	guanfacine extended-release mid dose	NA	FALSE	C02AC02	ATC 5th	guanfacine; oral	C	C02	C02A	C02AC	CARDIOVASCULAR SYSTEM	ANTIHYPERTENSIVES	ANTIADRENERGIC AGENTS, CENTRALLY ACTING	Imidazoline receptor agonists
10.1007/bf03261873	methodology	2	NA	treatment_name_nonipd	atomoxetine	atomoxetine	NA	FALSE	N06BA09	ATC 5th	atomoxetine; oral	N	N06	N06B	N06BA	NERVOUS SYSTEM	PSYCHOANALEPTICS	PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS	Centrally acting sympathomimetics
10.1007/bf03261873	methodology	3	NA	treatment_name_ipd	guanfacine extended-release high dose	guanfacine extended-release high dose	NA	FALSE	C02AC02	ATC 5th	guanfacine; oral	C	C02	C02A	C02AC	CARDIOVASCULAR SYSTEM	ANTIHYPERTENSIVES	ANTIADRENERGIC AGENTS, CENTRALLY ACTING	Imidazoline receptor agonists
10.1007/bf03261873	methodology	3	NA	treatment_name_nonipd	atomoxetine	atomoxetine	NA	FALSE	N06BA09	ATC 5th	atomoxetine; oral	N	N06	N06B	N06BA	NERVOUS SYSTEM	PSYCHOANALEPTICS	PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS	Centrally acting sympathomimetics
10.1007/s00432-021-03602-w	methodology	1	NA	treatment_name_ipd	regorafenib	regorafenib	NA	FALSE	L01EX05	ATC 5th	L01EX05	L	L01	L01E	L01EX	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	PROTEIN KINASE INHIBITORS	Other protein kinase inhibitors
10.1007/s00432-021-03602-w	methodology	1	NA	treatment_name_nonipd	cabozantinib	cabozantinib	NA	FALSE	L01EX07	ATC 5th	L01EX07	L	L01	L01E	L01EX	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	PROTEIN KINASE INHIBITORS	Other protein kinase inhibitors
10.1007/s11523-021-00803-8	methodology	1	NA	treatment_name_ipd	lenvatinib	lenvatinib	NA	FALSE	L01EX08	ATC 5th	L01EX08	L	L01	L01E	L01EX	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	PROTEIN KINASE INHIBITORS	Other protein kinase inhibitors
10.1007/s11523-021-00803-8	methodology	1	NA	treatment_name_nonipd	atezolizumab + bevacizumab	atezolizumab	NA	FALSE	L01XC32	ATC 5th	atezolizumab; parenteral	L	L01	L01X	L01XC	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies
10.1007/s11523-021-00803-8	methodology	1	NA	treatment_name_nonipd	atezolizumab + bevacizumab	bevacizumab	NA	FALSE	L01XC07	ATC 5th	bevacizumab; ophthalmic, parenteral	L	L01	L01X	L01XC	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies
10.1007/s12325-014-0167-z	methodology	1	NA	treatment_name_ipd	fingolimod	fingolimod	NA	FALSE	L04AA27	ATC 5th	fingolimod; oral	L	L04	L04A	L04AA	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Selective immunosuppressants
10.1007/s12325-014-0167-z	methodology	1	NA	treatment_name_nonipd	dimethyl fumarate	dimethyl fumarate	NA	FALSE	L04AX07	ATC 5th	dimethyl fumarate; oral	L	L04	L04A	L04AX	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Other immunosuppressants
10.1007/s12325-014-0167-z	methodology	2	NA	treatment_name_ipd	fingolimod	fingolimod	NA	FALSE	L04AA27	ATC 5th	fingolimod; oral	L	L04	L04A	L04AA	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Selective immunosuppressants
10.1007/s12325-014-0167-z	methodology	2	NA	treatment_name_nonipd	teriflunomide 7 mg	teriflunomide 7 mg	NA	FALSE	L04AA31	ATC 5th	teriflunomide; oral	L	L04	L04A	L04AA	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Selective immunosuppressants
