doi,PMID,included,full_article,exclusion_reasons,third,during_extraction
10.1002/pst.2210,35343622,FALSE,FALSE,methodological,FALSE,FALSE
10.1186/s40164-022-00268-z,35337365,TRUE,TRUE,NA,FALSE,FALSE
10.1080/10428194.2022.2047962,35289710,TRUE,TRUE,NA,FALSE,FALSE
10.3389/fphar.2022.757969,35281934,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1002/emp2.12655,35280921,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s12325-022-02099-0,35279814,TRUE,TRUE,NA,FALSE,FALSE
10.1136/bmjopen-2021-058102,35277411,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/j.jaip.2022.02.034,35272073,FALSE,FALSE,no_paitc,FALSE,FALSE
10.3390/cancers14051285,35267593,FALSE,FALSE,methodological,FALSE,FALSE
10.2217/fon-2021-1102,35232230,TRUE,TRUE,NA,FALSE,FALSE
10.26355/eurrev_202202_28007,35179764,FALSE,FALSE,no_itc,FALSE,FALSE
10.1001/jamaophthalmol.2021.6284,35175308,TRUE,TRUE,NA,FALSE,FALSE
10.3390/cancers14030538,35158805,FALSE,TRUE,other_paitc,FALSE,FALSE
10.1007/s12325-022-02054-z,35157216,TRUE,TRUE,NA,FALSE,FALSE
10.1161/hypertensionaha.121.18415,35138877,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1111/dom.14664,35129275,FALSE,FALSE,not_original_article,FALSE,FALSE
10.1177/23814683221077643,35128059,FALSE,FALSE,wrong_topic,FALSE,FALSE
10.2217/fon-2021-1509,35114819,TRUE,TRUE,NA,FALSE,FALSE
NA,35106186,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1016/j.rmed.2020.105999,35090692,FALSE,FALSE,not_original_article,FALSE,FALSE
10.1016/j.rmed.2020.106088,35090691,FALSE,FALSE,not_original_article,FALSE,FALSE
10.1016/j.rmed.2020.106065,35090690,FALSE,FALSE,not_original_article,FALSE,FALSE
10.1016/j.rmed.2020.105991,35090688,FALSE,TRUE,no_paitc,FALSE,FALSE
10.2217/imt-2021-0273,35073727,TRUE,TRUE,NA,FALSE,FALSE
10.2217/cer-2021-0178,35068168,TRUE,TRUE,NA,FALSE,FALSE
10.1016/j.clinthera.2021.11.015,35058055,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s11255-022-03107-6,35044552,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1080/03007995.2022.2030112,35042448,TRUE,TRUE,NA,FALSE,FALSE
10.2217/cer-2021-0216,35040693,TRUE,TRUE,NA,FALSE,FALSE
10.1182/bloodadvances.2021006280,35030634,FALSE,TRUE,no_paitc,FALSE,FALSE
10.7759/cureus.21065,35028245,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1097/mao.0000000000003464,34999620,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1101/2021.12.22.21268253,34981073,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1080/10428194.2021.2010069,34978255,TRUE,TRUE,NA,FALSE,FALSE
10.7759/cureus.19893,34966607,FALSE,FALSE,no_paitc,FALSE,FALSE
10.5414/cn110516,34931610,FALSE,TRUE,no_paitc,FALSE,FALSE
10.1210/clinem/dgab905,34922383,TRUE,TRUE,NA,FALSE,FALSE
10.1016/j.ejcsup.2021.06.003,34912479,FALSE,TRUE,other_paitc,FALSE,FALSE
10.1016/j.ejcsup.2021.06.002,34912478,TRUE,TRUE,NA,FALSE,FALSE
10.3390/cancers13235996,34885106,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s13555-021-00646-1,34877623,TRUE,TRUE,NA,FALSE,FALSE
10.1016/j.yebeh.2021.108429,34864380,FALSE,FALSE,no_paitc,FALSE,FALSE
10.1007/s40273-021-01113-7,34841472,FALSE,FALSE,no_itc,FALSE,FALSE
10.1007/s40261-021-01100-y,34822128,FALSE,TRUE,no_paitc,FALSE,FALSE
10.1007/s12325-021-01885-6,34797506,TRUE,TRUE,NA,FALSE,FALSE
10.2147/ptt.s326121,34765537,TRUE,TRUE,NA,FALSE,FALSE
10.1016/j.reumae.2020.05.009,34756316,FALSE,FALSE,other_paitc,FALSE,FALSE
10.2147/jbm.s321288,34754257,TRUE,TRUE,NA,FALSE,FALSE
10.2147/cmar.s325043,34754238,TRUE,TRUE,NA,FALSE,FALSE
10.2217/cer-2021-0221,34751591,TRUE,TRUE,NA,FALSE,FALSE
10.1016/j.jhqr.2021.09.003,34740549,FALSE,FALSE,methodological,FALSE,FALSE
