doi	section	n_itc	study_number	questions	answer
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	condition_name	thyroid eye disease
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	country_first_author	usa
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	country_last_author	canada
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	positions	Academic, Private Data Analysis Company
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	methodologist_yn	Yes
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	funding_source	Pharmaceutical Industry
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	pharmaceutical_ties_yn	Yes
10.1001/jamaophthalmol.2021.6284	general_information	NA	NA	systematic_review_yn	Yes
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	outcome_name	change from baseline in proptosis in mm
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	outcome_short_name	proptosis change
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	outcome_variable_type	Continuous (count, mean, ...)
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	treatment_name_ipd	teprotumumab
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	studies_number_ipd	1;2
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	treatment_name_nonipd	intravenous methylprednisolone
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	studies_number_nonipd	3
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	paic_type	MAIC
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	anchored_yn	No
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	paic_form	Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	primary_outcome_yn	No primary outcome defined, or multiple primary outcomes without any clear distinction between them
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	variables_selection_justification	A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	pf_yn	Yes
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	tem_yn	Yes
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	adjustment_model_details_yn	No
10.1001/jamaophthalmol.2021.6284	methodology	1	NA	scale_choice_yn	No
10.1001/jamaophthalmol.2021.6284	results	1	NA	contrast_effect_type	Means difference
10.1001/jamaophthalmol.2021.6284	results	1	NA	direction_benefit	inferior
10.1001/jamaophthalmol.2021.6284	results	1	NA	ss_ttt_nonipd	419
10.1001/jamaophthalmol.2021.6284	results	1	NA	ss_ttt_ipd	79
10.1001/jamaophthalmol.2021.6284	results	1	NA	ss_adjusted_ttt_ipd	56
10.1001/jamaophthalmol.2021.6284	results	1	NA	weights_yn	Not mentioned
10.1001/jamaophthalmol.2021.6284	results	1	NA	covariates_yn	Yes
10.1001/jamaophthalmol.2021.6284	results	1	NA	covariates_n	3
10.1001/jamaophthalmol.2021.6284	results	1	NA	covariates_names	Age, Sex, Other(s)
10.1001/jamaophthalmol.2021.6284	results	1	NA	contrast_effect_direction	Numerator if ratio, or left side if difference
